players
"('Vahid Amiri', 'Left Center Midfield')"
"('Milad Mohammadi', 'Left Back')"
"('Seyed Majid Hosseini', 'Center Defensive Midfield')"
"('Saman Ghoddos', 'Right Midfield')"
"('Ramin Rezaeian', 'Right Back')"
"('Omid Ebrahimi', 'Center Defensive Midfield')"
"('Alireza Jahanbakhsh', 'Left Wing')"
"('Seyed Majid Hosseini', 'Left Center Back')"
"('Ehsan Hajsafi', 'Left Back')"
"('Saeid Ezatolahi Afagh', 'Center Defensive Midfield')"
"('Karim Ansarifard', 'Center Defensive Midfield')"
"('Omid Ebrahimi', 'Right Center Midfield')"
"('Saman Ghoddos', 'Left Center Midfield')"
"('Karim Ansarifard', 'Left Wing')"
"('Mehdi Taremi', 'Right Wing')"
"('Mehdi Taremi', 'Right Center Midfield')"
"('Karim Ansarifard', 'Left Midfield')"
"('Roozbeh Cheshmi', 'Left Center Back')"
"('Morteza Pouraliganji', 'Right Center Back')"
"('Sardar Azmoun', 'Center Forward')"
"('Masoud Shojaei Soleimani', 'Right Center Midfield')"
"('Alireza Jahanbakhsh', 'Right Midfield')"
"('Mehdi Taremi', 'Left Midfield')"
"('Alireza Safar Beiranvand', 'Goalkeeper')"
