caseID,result,start_Zone,end_Zone,opponent
75562,Incomplete,2,3,Senegal
75566,Incomplete,1,2,Senegal
75567,Out,3,3,Senegal
755610,Incomplete,2,3,Senegal
755613,Out,2,3,Senegal
755616,Incomplete,2,None,Senegal
755617,Incomplete,2,1,Senegal
755618,Incomplete,2,3,Senegal
755620,Out,1,2,Senegal
755622,Incomplete,2,3,Senegal
755625,Incomplete,1,2,Senegal
755627,Incomplete,1,2,Senegal
755629,Blocked,1,3,Senegal
755630,Incomplete,2,3,Senegal
755633,Out,2,3,Senegal
755634,Incomplete,1,2,Senegal
755636,Incomplete,2,3,Senegal
755637,Incomplete,3,3,Senegal
755639,Incomplete,2,3,Senegal
755640,Incomplete,3,3,Senegal
755642,Incomplete,2,2,Senegal
755643,Incomplete,2,3,Senegal
755644,Incomplete,1,2,Senegal
755647,Incomplete,1,3,Senegal
755650,Incomplete,1,3,Senegal
755652,Incomplete,1,2,Senegal
755653,Incomplete,2,3,Senegal
755655,Incomplete,2,3,Senegal
755658,Incomplete,2,2,Senegal
755660,Injury Clearance,1,2,Senegal
755662,Goal,1,3,Senegal
755665,Out,2,2,Senegal
755666,Incomplete,1,3,Senegal
755668,Incomplete,2,2,Senegal
755670,Incomplete,1,1,Senegal
755671,Incomplete,1,2,Senegal
755673,Off T,1,3,Senegal
755675,Incomplete,1,2,Senegal
755676,Out,2,3,Senegal
755681,Out,1,3,Senegal
755683,Incomplete,2,3,Senegal
755687,Incomplete,1,2,Senegal
755690,Saved,1,3,Senegal
755692,Incomplete,1,3,Senegal
755694,Incomplete,1,2,Senegal
755696,Incomplete,1,3,Senegal
755698,Pass Offside,1,2,Senegal
7556100,Incomplete,1,2,Senegal
7556103,Incomplete,1,2,Senegal
7556109,Incomplete,2,2,Senegal
7556113,Incomplete,2,3,Senegal
7556115,Out,3,3,Senegal
7556117,Incomplete,2,2,Senegal
7556119,Out,1,3,Senegal
7556121,Out,1,3,Senegal
7556123,Incomplete,1,3,Senegal
7556125,Incomplete,2,2,Senegal
7556126,Out,2,3,Senegal
7556129,Incomplete,2,2,Senegal
7556134,Incomplete,2,3,Senegal
7556135,Blocked,3,3,Senegal
7556136,Incomplete,2,3,Senegal
7556137,Incomplete,2,3,Senegal
7556140,Incomplete,1,1,Senegal
7556142,Incomplete,1,2,Senegal
7556144,Goal,2,3,Senegal
7556146,Incomplete,1,2,Senegal
7556147,Out,1,3,Senegal
7556149,Incomplete,1,2,Senegal
7556151,Incomplete,2,2,Senegal
7556152,Incomplete,2,2,Senegal
7556154,Pass Offside,2,3,Senegal
7556156,Injury Clearance,1,2,Senegal
7556157,Incomplete,1,2,Senegal
7556158,Out,2,3,Senegal
7556160,Incomplete,2,2,Senegal
7556161,Incomplete,2,2,Senegal
7556163,Incomplete,1,1,Senegal
7556164,Out,2,3,Senegal
7556166,Incomplete,2,3,Senegal
7556169,Incomplete,1,3,Senegal
7556170,Incomplete,2,3,Senegal
75726,Incomplete,2,3,Poland
75728,Incomplete,2,2,Poland
75729,Incomplete,2,2,Poland
757211,Incomplete,1,2,Poland
757213,Incomplete,2,2,Poland
757215,Incomplete,1,1,Poland
757216,Incomplete,1,3,Poland
757218,Out,2,3,Poland
757221,Incomplete,2,3,Poland
757223,Off T,3,3,Poland
757225,Saved,2,3,Poland
757226,Incomplete,2,2,Poland
757229,Saved,1,3,Poland
757231,Incomplete,2,2,Poland
757234,Incomplete,1,2,Poland
757235,Incomplete,2,2,Poland
757237,Incomplete,2,3,Poland
757240,Incomplete,1,3,Poland
757241,Incomplete,2,3,Poland
757244,Incomplete,1,3,Poland
757246,Incomplete,1,1,Poland
757247,Incomplete,1,2,Poland
757248,Incomplete,2,2,Poland
757249,Incomplete,3,3,Poland
757250,Incomplete,3,3,Poland
757251,Incomplete,3,3,Poland
757253,Out,2,2,Poland
757255,Incomplete,1,1,Poland
757257,Incomplete,2,2,Poland
757260,Saved,1,3,Poland
757262,Incomplete,2,3,Poland
757264,Incomplete,2,3,Poland
757267,Incomplete,1,3,Poland
757269,Incomplete,2,2,Poland
757271,Incomplete,2,3,Poland
757272,Incomplete,3,3,Poland
757274,Incomplete,2,3,Poland
757275,Incomplete,3,3,Poland
757277,Incomplete,2,3,Poland
757282,Incomplete,1,2,Poland
757284,Incomplete,1,2,Poland
757286,Incomplete,2,3,Poland
757287,Out,3,3,Poland
757297,Incomplete,1,2,Poland
757298,Incomplete,2,3,Poland
757299,Incomplete,3,3,Poland
7572102,Out,2,2,Poland
7572104,Blocked,1,3,Poland
7572106,Incomplete,1,3,Poland
7572107,Incomplete,3,3,Poland
7572109,Incomplete,2,3,Poland
7572111,Incomplete,3,3,Poland
7572112,Off T,3,3,Poland
7572115,Incomplete,2,2,Poland
7572117,Blocked,2,3,Poland
7572119,Pass Offside,1,3,Poland
7572122,Incomplete,1,3,Poland
7572125,Off T,1,3,Poland
7572127,Incomplete,2,2,Poland
7572129,Incomplete,1,3,Poland
7572130,Off T,3,3,Poland
7572132,Incomplete,1,1,Poland
7572134,Incomplete,2,3,Poland
7572136,Out,1,3,Poland
7572138,Incomplete,2,3,Poland
7572142,Out,1,3,Poland
7572149,Injury Clearance,1,2,Poland
75412,Incomplete,2,3,Colombia
75416,Incomplete,3,3,Colombia
75418,Incomplete,2,2,Colombia
754110,Blocked,3,3,Colombia
754111,Goal,3,3,Colombia
754113,Pass Offside,2,3,Colombia
754115,Incomplete,2,3,Colombia
754117,Incomplete,1,2,Colombia
754120,Incomplete,1,1,Colombia
754121,Out,2,3,Colombia
754126,Incomplete,1,3,Colombia
754130,Off T,2,3,Colombia
754133,Incomplete,1,3,Colombia
754135,Incomplete,1,2,Colombia
754137,Incomplete,1,2,Colombia
754139,Incomplete,1,2,Colombia
754140,Incomplete,2,3,Colombia
754143,Incomplete,2,3,Colombia
754144,Incomplete,3,3,Colombia
754147,Incomplete,1,2,Colombia
754148,Incomplete,2,3,Colombia
754150,Incomplete,1,None,Colombia
754152,Incomplete,2,3,Colombia
754153,Out,3,3,Colombia
754155,Incomplete,2,3,Colombia
754158,Incomplete,2,2,Colombia
754159,Incomplete,2,3,Colombia
754161,Incomplete,2,3,Colombia
754162,Incomplete,3,2,Colombia
754164,Incomplete,2,2,Colombia
754172,Incomplete,2,3,Colombia
754174,Out,2,3,Colombia
754176,Out,2,3,Colombia
754178,Incomplete,1,3,Colombia
754181,Incomplete,1,2,Colombia
754188,Incomplete,1,2,Colombia
754189,Out,2,3,Colombia
754191,Incomplete,3,3,Colombia
754193,Out,1,2,Colombia
754195,Incomplete,2,2,Colombia
754196,Incomplete,2,3,Colombia
754198,Incomplete,2,3,Colombia
754199,Incomplete,3,3,Colombia
7541101,Incomplete,2,3,Colombia
7541103,Incomplete,1,2,Colombia
7541104,Incomplete,2,3,Colombia
7541106,Saved,1,3,Colombia
7541107,Incomplete,3,3,Colombia
7541109,Incomplete,2,3,Colombia
7541111,Saved,2,3,Colombia
7541113,Incomplete,3,3,Colombia
7541114,Off T,3,3,Colombia
7541117,Incomplete,1,2,Colombia
7541118,Off T,2,3,Colombia
7541120,Incomplete,3,3,Colombia
7541122,Incomplete,1,3,Colombia
7541123,Incomplete,2,3,Colombia
7541124,Blocked,3,3,Colombia
7541125,Incomplete,3,3,Colombia
7541127,Incomplete,2,3,Colombia
7541128,Incomplete,3,3,Colombia
7541130,Saved,1,3,Colombia
7541132,Blocked,1,3,Colombia
7541133,Goal,3,3,Colombia
7541135,Out,2,2,Colombia
7541137,Incomplete,2,3,Colombia
7541140,Incomplete,1,2,Colombia
7541145,Incomplete,1,3,Colombia
7541147,Incomplete,1,3,Colombia
7541149,Out,2,3,Colombia
7541151,Incomplete,2,2,Colombia
7541152,Incomplete,2,3,Colombia
7541153,Incomplete,3,3,Colombia
7541154,Incomplete,3,3,Colombia
7541156,Incomplete,1,2,Colombia
7541160,Incomplete,1,3,Colombia
7541161,Incomplete,3,3,Colombia
7541163,Incomplete,2,2,Colombia
7541167,Incomplete,1,2,Colombia
75843,Off T,3,3,Belgium
75846,Incomplete,1,2,Belgium
758410,Incomplete,1,None,Belgium
758413,Incomplete,2,3,Belgium
758415,Incomplete,2,3,Belgium
758416,Incomplete,3,2,Belgium
758418,Off T,1,3,Belgium
758420,Incomplete,1,2,Belgium
758422,Out,1,3,Belgium
758424,Out,1,3,Belgium
758426,Incomplete,2,3,Belgium
758428,Incomplete,1,1,Belgium
758429,Incomplete,1,3,Belgium
758433,Incomplete,1,2,Belgium
758434,Out,2,3,Belgium
758441,Incomplete,2,2,Belgium
758443,Incomplete,1,2,Belgium
758445,Incomplete,2,2,Belgium
758447,Incomplete,1,2,Belgium
758451,Incomplete,1,2,Belgium
758452,Incomplete,2,2,Belgium
758454,Saved,2,3,Belgium
758456,Incomplete,2,2,Belgium
758458,Out,2,3,Belgium
758460,Incomplete,2,3,Belgium
758462,Incomplete,2,2,Belgium
758464,Incomplete,1,3,Belgium
758466,Incomplete,1,2,Belgium
758470,Incomplete,1,2,Belgium
758473,Incomplete,1,None,Belgium
758476,Incomplete,1,None,Belgium
758477,Out,1,2,Belgium
758480,Blocked,1,3,Belgium
758481,Incomplete,2,3,Belgium
758483,Incomplete,1,2,Belgium
758484,Incomplete,2,2,Belgium
758485,Out,2,3,Belgium
758488,Goal,1,3,Belgium
758491,Out,1,3,Belgium
758493,Incomplete,1,3,Belgium
758495,Goal,2,3,Belgium
758497,Incomplete,2,2,Belgium
758499,Incomplete,2,3,Belgium
7584102,Incomplete,2,2,Belgium
7584104,Incomplete,1,3,Belgium
7584105,Incomplete,3,3,Belgium
7584108,Blocked,2,3,Belgium
7584109,Incomplete,3,3,Belgium
7584110,Incomplete,1,3,Belgium
7584114,Out,1,2,Belgium
7584117,Off T,1,3,Belgium
7584119,Incomplete,1,2,Belgium
7584120,Incomplete,2,3,Belgium
7584121,Out,3,3,Belgium
7584124,Out,3,2,Belgium
7584128,Incomplete,2,3,Belgium
7584130,Incomplete,2,3,Belgium
7584131,Incomplete,3,3,Belgium
7584134,Out,1,2,Belgium
7584136,Blocked,3,3,Belgium
7584138,Out,2,3,Belgium
7584141,Incomplete,2,3,Belgium
7584143,Incomplete,1,2,Belgium
7584147,Incomplete,1,3,Belgium
7584149,Blocked,2,3,Belgium
7584150,Incomplete,3,3,Belgium
7584154,Incomplete,1,3,Belgium
7584156,Incomplete,1,3,Belgium
7584160,Incomplete,2,3,Belgium
7584161,Incomplete,3,3,Belgium
7584162,Incomplete,3,2,Belgium
7584163,Incomplete,2,3,Belgium
7584164,Saved,2,3,Belgium
7584165,Incomplete,3,3,Belgium
7584167,Incomplete,2,2,Belgium
