caseID,result,start_Zone,end_Zone,opponent
75832,Incomplete,2,3,Brazil
75835,Blocked,2,3,Brazil
75836,Incomplete,3,3,Brazil
758311,Out,2,2,Brazil
758312,Incomplete,1,2,Brazil
758314,Incomplete,1,3,Brazil
758315,Incomplete,3,3,Brazil
758317,Incomplete,2,2,Brazil
758319,Incomplete,1,3,Brazil
758320,Incomplete,3,3,Brazil
758322,Incomplete,1,3,Brazil
758323,Incomplete,3,3,Brazil
758325,Incomplete,2,2,Brazil
758327,Out,1,3,Brazil
758330,Incomplete,2,None,Brazil
758331,Incomplete,1,2,Brazil
758334,Blocked,2,3,Brazil
758336,Incomplete,3,3,Brazil
758338,Incomplete,2,3,Brazil
758340,Blocked,1,2,Brazil
758342,Incomplete,2,2,Brazil
758343,Out,2,3,Brazil
758346,Incomplete,1,2,Brazil
758347,Incomplete,2,2,Brazil
758349,Off T,1,3,Brazil
758351,Incomplete,1,1,Brazil
758352,Out,1,3,Brazil
758354,Incomplete,2,3,Brazil
758357,Incomplete,1,1,Brazil
758360,Incomplete,2,3,Brazil
758366,Out,1,2,Brazil
758368,Incomplete,2,2,Brazil
758372,Incomplete,1,3,Brazil
758373,Out,3,3,Brazil
758375,Incomplete,2,2,Brazil
758377,Incomplete,1,2,Brazil
758381,Incomplete,1,2,Brazil
758382,Incomplete,2,2,Brazil
758388,Off T,1,3,Brazil
758390,Blocked,2,3,Brazil
758391,Incomplete,3,3,Brazil
758392,Blocked,3,3,Brazil
758394,Incomplete,2,3,Brazil
758396,Incomplete,2,2,Brazil
758399,Incomplete,1,None,Brazil
7583101,Incomplete,2,2,Brazil
7583103,Incomplete,1,2,Brazil
7583104,Incomplete,3,3,Brazil
7583106,Incomplete,2,None,Brazil
7583108,Incomplete,2,2,Brazil
7583110,Incomplete,1,2,Brazil
7583112,Blocked,2,3,Brazil
7583113,Incomplete,3,3,Brazil
7583114,Incomplete,3,3,Brazil
7583119,Incomplete,1,1,Brazil
7583120,Incomplete,2,2,Brazil
7583122,Out,2,3,Brazil
7583124,Incomplete,2,3,Brazil
7583127,Incomplete,1,2,Brazil
7583129,Incomplete,1,3,Brazil
7583132,Blocked,1,3,Brazil
7583134,Incomplete,1,3,Brazil
7583135,Incomplete,2,3,Brazil
7583138,Incomplete,1,3,Brazil
7583139,Incomplete,2,3,Brazil
7583144,Incomplete,1,3,Brazil
