players
"('Rafael Márquez Álvarez', 'Left Defensive Midfield')"
"('Carlos Joel Salcedo Hernández', 'Center Back')"
"('Carlos Joel Salcedo Hernández', 'Left Center Back')"
"('Raúl Alonso Jiménez Rodríguez', 'Center Forward')"
"('Rafael Márquez Álvarez', 'Center Midfield')"
"('Carlos Alberto Vela Garrido', 'Right Wing')"
"('Héctor Miguel Herrera López', 'Right Defensive Midfield')"
"('José Andrés Guardado Hernández', 'Left Defensive Midfield')"
"('Carlos Alberto Vela Garrido', 'Right Center Midfield')"
"('Raúl Alonso Jiménez Rodríguez', 'Left Wing')"
"('Miguel Arturo Layún Prado', 'Right Midfield')"
"('Edson Omar Álvarez Velázquez', 'Right Back')"
"('José Andrés Guardado Hernández', 'Left Center Midfield')"
"('Edson Omar Álvarez Velázquez', 'Center Defensive Midfield')"
"('Javier Hernández Balcázar', 'Left Center Forward')"
"('Rafael Márquez Álvarez', 'Center Defensive Midfield')"
"('Giovani dos Santos Ramírez', 'Left Center Midfield')"
"('José Andrés Guardado Hernández', 'Left Midfield')"
"('Marco Jhonfai Fabián De La Mora', 'Left Center Midfield')"
"('Jonathan dos Santos Ramírez', 'Center Defensive Midfield')"
"('Jesús Manuel Corona Ruíz', 'Right Wing')"
"('Carlos Joel Salcedo Hernández', 'Right Center Back')"
"('Hugo Ayala Castro', 'Right Center Back')"
"('Jesús Manuel Corona Ruíz', 'Right Center Midfield')"
"('Héctor Alfredo Moreno Herrera', 'Left Center Back')"
"('Giovani dos Santos Ramírez', 'Right Center Midfield')"
"('Raúl Alonso Jiménez Rodríguez', 'Left Midfield')"
"('Rafael Márquez Álvarez', 'Right Defensive Midfield')"
"('Miguel Arturo Layún Prado', 'Right Back')"
"('Hirving Rodrigo Lozano Bahena', 'Right Wing')"
"('Carlos Alberto Vela Garrido', 'Left Wing')"
"('Carlos Alberto Vela Garrido', 'Center Attacking Midfield')"
"('Carlos Joel Salcedo Hernández', 'Right Back')"
"('Edson Omar Álvarez Velázquez', 'Right Wing')"
"('Edson Omar Álvarez Velázquez', 'Right Center Midfield')"
"('Jesús Manuel Corona Ruíz', 'Left Wing')"
"('José Andrés Guardado Hernández', 'Right Center Midfield')"
"('Edson Omar Álvarez Velázquez', 'Right Center Back')"
"('Miguel Arturo Layún Prado', 'Left Back')"
"('Hirving Rodrigo Lozano Bahena', 'Left Wing')"
"('Héctor Miguel Herrera López', 'Right Midfield')"
"('Oribe Peralta Morones', 'Right Center Forward')"
"('Francisco Guillermo Ochoa Magaña', 'Goalkeeper')"
"('Javier Hernández Balcázar', 'Center Forward')"
"('Héctor Miguel Herrera López', 'Center Attacking Midfield')"
"('Rafael Márquez Álvarez', 'Left Center Midfield')"
"('Marco Jhonfai Fabián De La Mora', 'Center Attacking Midfield')"
"('Héctor Miguel Herrera López', 'Left Center Midfield')"
"('Jesús Daniel Gallardo Vasconcelos', 'Left Back')"
"('Héctor Miguel Herrera López', 'Center Defensive Midfield')"
"('Miguel Arturo Layún Prado', 'Right Wing')"
"('Héctor Miguel Herrera López', 'Left Defensive Midfield')"
"('Héctor Miguel Herrera López', 'Right Center Midfield')"
"('Héctor Alfredo Moreno Herrera', 'Center Back')"
