caseID,result,start_Zone,end_Zone,opponent
75772,Incomplete,2,3,Iran
75774,Off T,1,3,Iran
75776,Incomplete,1,3,Iran
75777,Incomplete,3,3,Iran
75778,Incomplete,3,3,Iran
75779,Off T,3,3,Iran
757711,Injury Clearance,1,3,Iran
757712,Incomplete,1,3,Iran
757713,Off T,3,3,Iran
757715,Incomplete,2,3,Iran
757716,Incomplete,3,3,Iran
757718,Incomplete,2,2,Iran
757719,Incomplete,2,3,Iran
757722,Incomplete,1,3,Iran
757724,Incomplete,2,3,Iran
757725,Incomplete,3,2,Iran
757727,Incomplete,2,3,Iran
757729,Incomplete,1,3,Iran
757731,Incomplete,2,3,Iran
757733,Out,2,3,Iran
757735,Incomplete,1,2,Iran
757736,Blocked,2,3,Iran
757737,Incomplete,3,3,Iran
757738,Incomplete,3,3,Iran
757743,Incomplete,1,2,Iran
757746,Out,2,3,Iran
757750,Incomplete,1,1,Iran
757751,Blocked,1,2,Iran
757756,Incomplete,1,2,Iran
757757,Saved,2,3,Iran
757759,Incomplete,2,2,Iran
757762,Out,2,3,Iran
757764,Incomplete,1,2,Iran
757767,Incomplete,1,2,Iran
757768,Incomplete,2,3,Iran
757770,Incomplete,2,2,Iran
757771,Incomplete,2,3,Iran
757778,Out,1,3,Iran
757780,Incomplete,2,3,Iran
757784,Out,1,3,Iran
757786,Incomplete,2,2,Iran
757787,Out,2,3,Iran
757789,Incomplete,2,2,Iran
757790,Incomplete,2,3,Iran
757792,Incomplete,1,2,Iran
757793,Incomplete,2,3,Iran
757795,Out,2,3,Iran
757797,Incomplete,2,3,Iran
757799,Incomplete,2,2,Iran
7577100,Out,2,2,Iran
7577101,Incomplete,2,3,Iran
7577103,Incomplete,2,2,Iran
7577106,Incomplete,2,3,Iran
7577108,Incomplete,1,2,Iran
7577110,Incomplete,1,2,Iran
7577113,Incomplete,2,2,Iran
7577114,Incomplete,2,3,Iran
7577118,Incomplete,1,3,Iran
7577119,Incomplete,3,3,Iran
7577121,Incomplete,2,2,Iran
7577123,Incomplete,1,3,Iran
7577124,Incomplete,3,3,Iran
7577125,Incomplete,3,3,Iran
7577128,Out,2,2,Iran
7577130,Incomplete,1,2,Iran
7577132,Incomplete,2,3,Iran
7577134,Incomplete,1,3,Iran
7577136,Incomplete,1,3,Iran
7577138,Incomplete,2,3,Iran
7577139,Incomplete,3,3,Iran
7577141,Out,2,3,Iran
7577143,Incomplete,2,3,Iran
7577145,Out,2,3,Iran
7577148,Incomplete,1,2,Iran
7577151,Out,1,2,Iran
7577153,Incomplete,1,3,Iran
7577154,Incomplete,2,3,Iran
7577156,Incomplete,2,2,Iran
7577158,Saved,1,3,Iran
7577159,Off T,3,3,Iran
7577160,Incomplete,1,2,Iran
7577162,Incomplete,1,3,Iran
7577165,Incomplete,1,3,Iran
7577167,Incomplete,2,3,Iran
7577169,Blocked,2,3,Iran
7577171,Incomplete,1,2,Iran
7577172,Incomplete,2,2,Iran
7577174,Incomplete,2,3,Iran
7577176,Incomplete,1,2,Iran
7577177,Incomplete,2,3,Iran
7577179,Incomplete,2,3,Iran
7577180,Incomplete,2,3,Iran
7577183,Incomplete,2,3,Iran
75422,Off T,2,3,Portugal
75424,Incomplete,2,2,Portugal
75425,Incomplete,2,3,Portugal
75429,Incomplete,2,3,Portugal
754210,Incomplete,3,3,Portugal
754214,Incomplete,2,2,Portugal
754216,Incomplete,1,3,Portugal
754219,Incomplete,3,3,Portugal
754221,Incomplete,2,3,Portugal
754222,Saved,3,3,Portugal
754225,Incomplete,1,1,Portugal
754226,Incomplete,1,3,Portugal
754227,Incomplete,3,3,Portugal
754228,Off T,3,3,Portugal
754231,Incomplete,1,2,Portugal
754233,Incomplete,1,2,Portugal
754236,Blocked,2,3,Portugal
754237,Incomplete,3,3,Portugal
754239,Incomplete,3,3,Portugal
754240,Incomplete,2,3,Portugal
754241,Incomplete,3,3,Portugal
754242,Pass Offside,2,2,Portugal
754244,Saved,2,3,Portugal
754246,Incomplete,1,1,Portugal
754247,Out,2,3,Portugal
754249,Incomplete,2,3,Portugal
754252,Incomplete,1,2,Portugal
754253,Incomplete,1,3,Portugal
754255,Incomplete,2,3,Portugal
754257,Out,2,3,Portugal
754259,Incomplete,2,3,Portugal
754260,Incomplete,2,3,Portugal
754262,Incomplete,2,3,Portugal
754266,Off T,1,3,Portugal
754268,Incomplete,2,2,Portugal
754269,Incomplete,3,3,Portugal
754272,Incomplete,2,3,Portugal
754274,Incomplete,2,3,Portugal
754275,Incomplete,2,3,Portugal
754276,Incomplete,3,3,Portugal
754279,Out,1,2,Portugal
754281,Incomplete,1,3,Portugal
754284,Incomplete,2,2,Portugal
754285,Incomplete,2,2,Portugal
754286,Out,2,3,Portugal
754288,Incomplete,2,3,Portugal
754290,Incomplete,3,3,Portugal
754292,Incomplete,2,3,Portugal
754293,Off T,3,3,Portugal
754295,Incomplete,2,2,Portugal
754296,Incomplete,2,3,Portugal
754299,Incomplete,1,2,Portugal
7542101,Incomplete,2,2,Portugal
7542104,Incomplete,1,2,Portugal
7542105,Incomplete,3,3,Portugal
7542106,Incomplete,2,3,Portugal
7542111,Incomplete,1,2,Portugal
7542113,Incomplete,2,3,Portugal
7542114,Incomplete,3,3,Portugal
7542116,Saved,1,3,Portugal
7542118,Saved,3,3,Portugal
7542119,Incomplete,3,3,Portugal
7542121,Incomplete,1,2,Portugal
7542123,Incomplete,2,2,Portugal
7542124,Incomplete,2,2,Portugal
7542125,Off T,2,3,Portugal
7542128,Incomplete,2,3,Portugal
7542130,Incomplete,2,3,Portugal
7542132,Incomplete,2,2,Portugal
7542133,Incomplete,2,3,Portugal
7542134,Incomplete,3,2,Portugal
7542135,Out,2,3,Portugal
7542137,Incomplete,3,3,Portugal
7542138,Off T,3,3,Portugal
7542141,Out,1,1,Portugal
7542143,Incomplete,2,3,Portugal
7542145,Out,2,2,Portugal
7542147,Incomplete,1,1,Portugal
7542149,Incomplete,1,1,Portugal
7542151,Incomplete,2,2,Portugal
7542152,Incomplete,2,3,Portugal
7542154,Incomplete,2,2,Portugal
7542155,Incomplete,2,3,Portugal
7542156,Incomplete,3,3,Portugal
7542157,Incomplete,3,3,Portugal
7542159,Incomplete,2,3,Portugal
7542161,Incomplete,2,3,Portugal
7542162,Off T,3,3,Portugal
7542164,Incomplete,2,None,Portugal
7542165,Incomplete,3,3,Portugal
7542167,Incomplete,2,3,Portugal
7542168,Off T,3,2,Portugal
7542169,Out,2,2,Portugal
7542172,Incomplete,1,3,Portugal
7542176,Incomplete,1,3,Portugal
7542177,Incomplete,3,3,Portugal
7542180,Incomplete,1,1,Portugal
7542183,Incomplete,1,3,Portugal
7542184,Blocked,3,3,Portugal
7542185,Incomplete,3,3,Portugal
7542187,Incomplete,2,1,Portugal
7542188,Incomplete,1,2,Portugal
7542189,Off T,2,3,Portugal
7542192,Incomplete,1,3,Portugal
7542193,Incomplete,3,3,Portugal
75603,Incomplete,2,3,Spain
75605,Out,3,3,Spain
75607,Incomplete,2,2,Spain
756010,Incomplete,1,2,Spain
756016,Incomplete,2,2,Spain
756018,Incomplete,1,2,Spain
756020,Incomplete,2,1,Spain
756022,Incomplete,1,3,Spain
756025,Incomplete,1,2,Spain
756026,Incomplete,2,3,Spain
756028,Goal,2,3,Spain
756030,Incomplete,1,2,Spain
756033,Incomplete,1,3,Spain
756034,Incomplete,3,2,Spain
756038,Incomplete,2,3,Spain
756043,Incomplete,1,3,Spain
