players
"('Nabil Dirar', 'Right Back')"
"('Amine Harit', 'Left Wing')"
"('Aziz Bouhaddouz', 'Center Forward')"
"('Nordin Amrabat', 'Right Wing')"
"('Nordin Amrabat', 'Right Center Midfield')"
"('Youssef En-Nesyri', 'Center Forward')"
"('Nordin Amrabat', 'Right Back')"
"('Mbark Boussoufa', 'Left Center Midfield')"
"('Hakim Ziyech', 'Left Wing')"
"('Manuel Marouan da Costa Trinidade', 'Right Center Back')"
"('Medhi Amine El Mouttaqi Benatia', 'Right Center Back')"
"('Sofyan Amrabat', 'Right Wing Back')"
"('Ayoub El Kaabi', 'Center Forward')"
"('Khalid Boutaïb', 'Center Forward')"
"('Munir Mohand Mohamedi', 'Goalkeeper')"
"('Mbark Boussoufa', 'Right Midfield')"
"('Ayoub El Kaabi', 'Right Center Forward')"
"('Younès Belhanda', 'Center Attacking Midfield')"
"('Younès Belhanda', 'Left Wing')"
"('Hakim Ziyech', 'Left Midfield')"
"('Mbark Boussoufa', 'Left Defensive Midfield')"
"('Karim El Ahmadi Al Aroos', 'Center Defensive Midfield')"
"('Mehdi Carcela-González', 'Left Center Forward')"
"('Manuel Marouan da Costa Trinidade', 'Left Center Back')"
"('Nordin Amrabat', 'Left Wing')"
"('Fayçal Fajr', 'Left Center Midfield')"
"('Achraf Hakimi Mouh', 'Left Wing Back')"
"('Youssef En-Nesyri', 'Left Midfield')"
"('Sofyan Amrabat', 'Right Back')"
"('Mbark Boussoufa', 'Right Center Midfield')"
"('Nordin Amrabat', 'Right Midfield')"
"('Younès Belhanda', 'Left Center Midfield')"
"('Fayçal Fajr', 'Right Defensive Midfield')"
"('Manuel Marouan da Costa Trinidade', 'Center Back')"
"('Karim El Ahmadi Al Aroos', 'Right Center Midfield')"
"('Romain Saïss', 'Left Center Back')"
"('Hakim Ziyech', 'Right Wing')"
"('Karim El Ahmadi Al Aroos', 'Right Defensive Midfield')"
"('Achraf Hakimi Mouh', 'Left Back')"
