caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7564100,Pass,Corner,None,From Corner,None,None,1.6983058000000002,39.319206,,,00:03:18.040,2,48,1.3330000000000002,00:03:19.373000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,120.0,1.0,115.0,40.0,None,Unknown,Argentina,Nigeria,Pass_Corner,Pass_1,Pass_Corner_1
7564101,Shot,Penalty,Normal,Other,None,None,,,,,00:05:24.800,2,50,0.56,00:05:25.360000,Nigeria,Nigeria,Victor Moses,Right Wing Back,Right Foot,109.0,41.0,120.0,42.0,None,Goal,Argentina,Nigeria,Shot_Penalty,Shot_1,Shot_Penalty_1
7564103,Pass,Throw-in,None,From Throw In,None,None,-0.028563658,35.014282,,Odion Jude Ighalo,00:07:03.213,2,52,1.52,00:07:04.733000,Nigeria,Nigeria,Victor Moses,Right Wing Back,,46.0,80.0,81.0,79.0,None,Incomplete,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7564104,Pass,Throw-in,None,From Throw In,None,None,-0.84089667,25.495098000000002,,Ahmed Musa,00:07:16.160,2,52,1.32,00:07:17.480000,Nigeria,Nigeria,Victor Moses,Right Wing Back,,76.0,80.0,93.0,61.0,None,Incomplete,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7564104,Pass,Recovery,None,From Throw In,None,None,-1.3677511,34.713108,,Brian Oladapo Idowu,00:07:19.240,2,52,1.933,00:07:21.173000,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,Right Foot,79.0,59.0,86.0,25.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_2,Pass_Recovery_1
7564104,Pass,None,None,From Throw In,True,None,0.26625204,11.401753999999999,,Ahmed Musa,00:07:25.360,2,52,1.5330000000000001,00:07:26.893000,Nigeria,Nigeria,Brian Oladapo Idowu,Left Wing Back,Right Foot,98.0,18.0,109.0,21.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_1
7564104,Ball Recovery,None,None,From Throw In,None,None,,,,,00:07:28.733,2,52,,None,Nigeria,Nigeria,Kenneth Josiah Omeruo,Left Center Back,,65.0,20.0,,,None,None,Argentina,Nigeria,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7564104,Pass,None,None,From Throw In,None,None,-0.24497867,16.492422,,Ahmed Musa,00:07:30.120,2,52,1.2930000000000001,00:07:31.413000,Nigeria,Nigeria,Kenneth Josiah Omeruo,Left Center Back,Left Foot,67.0,13.0,83.0,9.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_2
7564104,Pass,None,None,From Throw In,True,None,1.9295669999999998,17.088007,,Onyinye Wilfred Ndidi,00:07:31.413,2,52,0.8,00:07:32.213000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,Right Foot,83.0,9.0,77.0,25.0,None,None,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_3
7564104,Dribble,None,None,From Throw In,None,None,,,,,00:07:32.893,2,52,,None,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,,78.0,24.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_1,Dribble_None_1
7564104,Pass,None,None,From Throw In,None,None,-0.34302393,14.866069,,Odion Jude Ighalo,00:07:33.680,2,52,1.093,00:07:34.773000,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,Right Foot,81.0,31.0,95.0,26.0,None,None,Argentina,Nigeria,Pass_None,Pass_6,Pass_None_4
7564104,Dribble,None,None,From Throw In,None,None,,,,,00:07:36.853,2,52,,None,Nigeria,Nigeria,Odion Jude Ighalo,Right Center Forward,,105.0,21.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_2,Dribble_None_2
7564104,Dribble,None,None,From Throw In,None,None,,,,,00:07:39.333,2,52,,None,Nigeria,Nigeria,Odion Jude Ighalo,Right Center Forward,,116.0,24.0,,,None,Incomplete,Argentina,Nigeria,Dribble_None,Dribble_3,Dribble_None_3
7564105,Pass,Corner,None,From Corner,None,None,1.7078625,29.274563,,Leon-Aderemi Balogun,00:08:14.400,2,53,0.88,00:08:15.280000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,120.0,2.0,116.0,31.0,None,Incomplete,Argentina,Nigeria,Pass_Corner,Pass_1,Pass_Corner_1
7564106,Pass,Throw-in,None,From Throw In,None,None,1.5707964,13.0,,John Michael Nchekwube Obinna,00:08:33.213,2,53,0.8,00:08:34.013000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,,99.0,1.0,99.0,14.0,None,None,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7564106,Pass,None,None,From Throw In,True,None,-0.90975314,11.401753999999999,,Ahmed Musa,00:08:34.613,2,53,0.84,00:08:35.453000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,Right Foot,100.0,13.0,107.0,4.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
7564106,Dribble,None,None,From Throw In,None,None,,,,,00:08:35.773,2,53,,None,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,,105.0,4.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_1,Dribble_None_1
7564106,Pass,None,None,From Throw In,True,None,1.7063240000000002,22.203604000000002,,Odion Jude Ighalo,00:08:38.360,2,53,0.96,00:08:39.320000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,Right Foot,116.0,15.0,113.0,37.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
7564106,Pass,Recovery,None,From Throw In,None,None,-0.551655,30.528675,,,00:08:41.360,2,53,3.333,00:08:44.693000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Head,94.0,24.0,120.0,8.0,None,Out,Argentina,Nigeria,Pass_Recovery,Pass_4,Pass_Recovery_1
7564108,Pass,Interception,None,Regular Play,None,None,1.4994888000000002,14.035668,,Victor Moses,00:09:14.560,2,54,2.173,00:09:16.733000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,Right Foot,45.0,45.0,46.0,59.0,None,None,Argentina,Nigeria,Pass_Interception,Pass_1,Pass_Interception_1
7564108,Dribble,None,None,Regular Play,None,None,,,,,00:09:17.813,2,54,,None,Nigeria,Nigeria,Victor Moses,Right Wing Back,,57.0,57.0,,,None,Incomplete,Argentina,Nigeria,Dribble_None,Dribble_1,Dribble_None_1
7564109,Pass,Free Kick,None,From Free Kick,None,None,-0.648332,41.400482000000004,,Onyinye Wilfred Ndidi,00:10:15.320,2,55,1.8130000000000002,00:10:17.133000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,71.0,65.0,104.0,40.0,None,Unknown,Argentina,Nigeria,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7564109,Foul Committed,None,None,From Free Kick,None,None,,,,,00:10:18.213,2,55,,None,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,,105.0,39.0,,,None,None,Argentina,Nigeria,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7564114,Pass,Recovery,None,Regular Play,None,None,0.5880025999999999,3.6055512000000003,,Odion Jude Ighalo,00:12:45.880,2,57,1.0,00:12:46.880000,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,Right Foot,35.0,68.0,38.0,70.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_1,Pass_Recovery_1
7564114,Pass,None,None,Regular Play,None,None,2.8753407,11.401753999999999,,Leon-Aderemi Balogun,00:12:49.253,2,57,0.92,00:12:50.173000,Nigeria,Nigeria,Odion Jude Ighalo,Right Center Forward,Right Foot,38.0,75.0,27.0,78.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
7564114,Pass,None,None,Regular Play,True,None,-0.035699114,28.01785,,Victor Moses,00:12:50.653,2,57,1.187,00:12:51.840000,Nigeria,Nigeria,Leon-Aderemi Balogun,Right Center Back,Right Foot,27.0,78.0,55.0,77.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
7564116,Pass,Throw-in,None,From Throw In,None,None,0.18311082,27.459059999999997,,Ahmed Musa,00:13:19.653,2,58,1.84,00:13:21.493000,Nigeria,Nigeria,Brian Oladapo Idowu,Left Wing Back,,52.0,2.0,79.0,7.0,None,None,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7564116,Dribble,None,None,From Throw In,None,None,,,,,00:13:26.800,2,58,,None,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,,113.0,17.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_1,Dribble_None_1
7564116,Pass,None,None,From Throw In,True,None,2.1293957000000003,9.433981,,Odion Jude Ighalo,00:13:27.840,2,58,0.45299999999999996,00:13:28.293000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,Left Foot,118.0,25.0,113.0,33.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
7564116,Pass,Recovery,None,From Throw In,None,None,-2.158799,3.6055512000000003,,John Michael Nchekwube Obinna,00:13:31.360,2,58,0.573,00:13:31.933000,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,Right Foot,88.0,41.0,86.0,38.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_4,Pass_Recovery_2
7564116,Pass,None,None,From Throw In,True,None,-2.819842,15.811388,,William Troost-Ekong,00:13:34.120,2,58,1.24,00:13:35.360000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,Left Foot,80.0,47.0,65.0,42.0,None,None,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_2
7564116,Pass,None,None,From Throw In,None,None,-0.8870870000000001,34.828148,,Oghenekaro Etebo,00:13:35.360,2,58,1.653,00:13:37.013000,Nigeria,Nigeria,William Troost-Ekong,Center Back,Right Foot,65.0,42.0,87.0,15.0,None,None,Argentina,Nigeria,Pass_None,Pass_6,Pass_None_3
7564116,Dribble,None,None,From Throw In,None,None,,,,,00:13:39.253,2,58,,None,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,,94.0,7.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_2,Dribble_None_2
7564116,Pass,None,None,From Throw In,None,None,1.2490457,3.1622777,,Ahmed Musa,00:13:41.320,2,58,0.64,00:13:41.960000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,91.0,11.0,92.0,14.0,None,None,Argentina,Nigeria,Pass_None,Pass_7,Pass_None_4
7564116,Pass,None,None,From Throw In,None,None,-0.9652516999999999,15.811388,,Oghenekaro Etebo,00:13:42.020,2,58,1.153,00:13:43.173000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,Left Foot,92.0,14.0,101.0,1.0,None,Out,Argentina,Nigeria,Pass_None,Pass_8,Pass_None_5
7564118,Pass,Goal Kick,None,From Goal Kick,None,None,0.39852244,61.846584,,John Michael Nchekwube Obinna,00:15:20.013,2,60,3.6660000000000004,00:15:23.679000,Nigeria,Nigeria,Francis Odinaka Uzoho,Goalkeeper,Right Foot,7.0,45.0,64.0,69.0,None,None,Argentina,Nigeria,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7564118,Pass,None,None,From Goal Kick,None,None,0.26060238,15.524175,,Odion Jude Ighalo,00:15:23.770,2,60,1.47,00:15:25.240000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,Head,64.0,69.0,79.0,73.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
7564119,Pass,Throw-in,None,From Throw In,None,None,-0.44752,27.730847999999998,,Odion Jude Ighalo,00:15:39.280,2,60,2.32,00:15:41.600000,Nigeria,Nigeria,Victor Moses,Right Wing Back,,74.0,80.0,99.0,68.0,None,Incomplete,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7564119,Pressure,None,None,From Throw In,None,None,,,,,00:15:43.613,2,60,0.0,00:15:43.613000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,,79.0,62.0,,,None,None,Argentina,Nigeria,Pressure_None,Pressure_1,Pressure_None_1
7564119,Ball Recovery,None,None,From Throw In,None,None,,,,,00:15:44.693,2,60,,None,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,,74.0,56.0,,,None,None,Argentina,Nigeria,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7564119,Pass,None,None,From Throw In,True,None,-0.16514868,6.0827627,,Oghenekaro Etebo,00:15:45.280,2,60,1.213,00:15:46.493000,Nigeria,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,Right Foot,73.0,54.0,79.0,53.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
7564119,Pass,None,None,From Throw In,None,None,0.066568166,15.033297,,Ahmed Musa,00:15:47.253,2,60,0.599,00:15:47.852000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,78.0,52.0,93.0,53.0,None,None,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
7564119,Pass,None,None,From Throw In,None,None,1.7561442999999999,16.27882,,Victor Moses,00:15:50.133,2,60,0.8390000000000001,00:15:50.972000,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,Right Foot,90.0,63.0,87.0,79.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_3
7564119,Pass,None,None,From Throw In,True,None,-2.9229238,9.219544,,John Michael Nchekwube Obinna,00:15:54.440,2,60,0.853,00:15:55.293000,Nigeria,Nigeria,Victor Moses,Right Wing Back,Right Foot,95.0,75.0,86.0,73.0,None,None,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_4
7564119,Pass,None,None,From Throw In,True,None,-1.2242575,38.27532,,Brian Oladapo Idowu,00:15:55.613,2,60,1.52,00:15:57.133000,Nigeria,Nigeria,John Michael Nchekwube Obinna,Center Defensive Midfield,Right Foot,86.0,73.0,99.0,37.0,None,None,Argentina,Nigeria,Pass_None,Pass_6,Pass_None_5
7564119,Miscontrol,None,None,From Throw In,None,None,,,,,00:15:57.293,2,60,,None,Nigeria,Nigeria,Brian Oladapo Idowu,Left Wing Back,,100.0,36.0,,,None,None,Argentina,Nigeria,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
756412,Pass,Throw-in,None,From Throw In,None,None,0.047583103,21.023796,,Ahmed Musa,00:04:18.953,1,4,1.679,00:04:20.632000,Nigeria,Nigeria,Brian Oladapo Idowu,Left Wing Back,,44.0,1.0,65.0,2.0,None,None,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
756412,Miscontrol,None,None,From Throw In,None,None,,,,,00:04:22.113,1,4,,None,Nigeria,Nigeria,Ahmed Musa,Left Center Forward,,64.0,3.0,,,None,None,Argentina,Nigeria,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
756412,Pass,Recovery,None,From Throw In,None,None,0.8960554000000001,12.806249000000001,,Kelechi Promise Iheanacho,00:04:22.833,1,4,0.96,00:04:23.793000,Nigeria,Nigeria,Brian Oladapo Idowu,Left Wing Back,Right Foot,58.0,4.0,66.0,14.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_3,Pass_Recovery_2
756412,Pass,None,None,From Throw In,None,None,-2.819842,9.486833,,Oghenekaro Etebo,00:04:24.033,1,4,0.52,00:04:24.553000,Nigeria,Nigeria,Kelechi Promise Iheanacho,Right Center Forward,Left Foot,66.0,14.0,57.0,11.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_1
756412,Pass,None,None,From Throw In,True,None,1.6614561999999997,22.090721,,Onyinye Wilfred Ndidi,00:04:25.313,1,4,0.934,00:04:26.247000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,57.0,11.0,55.0,33.0,None,None,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_2
7564122,Pass,Goal Kick,None,From Goal Kick,None,None,-0.44707453,80.95678000000001,,Onyinye Wilfred Ndidi,00:17:02.440,2,62,6.132999999999999,00:17:08.573000,Nigeria,Nigeria,Francis Odinaka Uzoho,Goalkeeper,Right Foot,7.0,36.0,80.0,1.0,None,Out,Argentina,Nigeria,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7564125,Pass,Recovery,None,From Counter,None,None,-0.8850667999999999,14.212670000000001,,Ahmed Musa,00:18:34.533,2,63,0.72,00:18:35.253000,Nigeria,Nigeria,Kenneth Josiah Omeruo,Left Center Back,Right Foot,21.0,25.0,30.0,14.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_1,Pass_Recovery_1
