caseID,result,start_Zone,end_Zone,opponent
75642,Out,2,3,Argentina
75644,Incomplete,2,2,Argentina
75646,Incomplete,2,2,Argentina
75649,Incomplete,2,2,Argentina
756412,Incomplete,2,2,Argentina
756414,Incomplete,1,3,Argentina
756416,Incomplete,3,3,Argentina
756418,Incomplete,2,2,Argentina
756419,Blocked,2,3,Argentina
756422,Incomplete,1,3,Argentina
756423,Off T,3,3,Argentina
756425,Incomplete,2,3,Argentina
756428,Out,1,1,Argentina
756430,Incomplete,2,3,Argentina
756432,Incomplete,2,2,Argentina
756434,Incomplete,2,2,Argentina
756435,Incomplete,2,3,Argentina
756437,Incomplete,2,2,Argentina
756440,Incomplete,3,3,Argentina
756444,Out,1,1,Argentina
756446,Incomplete,1,3,Argentina
756448,Incomplete,1,1,Argentina
756449,Incomplete,1,2,Argentina
756453,Incomplete,2,3,Argentina
756455,Incomplete,1,2,Argentina
756457,Incomplete,1,3,Argentina
756460,Incomplete,2,2,Argentina
756464,Incomplete,2,3,Argentina
756465,Incomplete,2,3,Argentina
756467,Incomplete,2,3,Argentina
756473,Incomplete,2,2,Argentina
756474,Out,2,3,Argentina
756476,Incomplete,2,3,Argentina
756477,Incomplete,3,3,Argentina
756479,Incomplete,2,2,Argentina
756480,Incomplete,2,2,Argentina
756484,Incomplete,1,3,Argentina
756485,Incomplete,3,3,Argentina
756487,Incomplete,2,3,Argentina
756489,Incomplete,3,3,Argentina
756490,Saved,3,3,Argentina
756493,Out,2,1,Argentina
756495,Incomplete,2,2,Argentina
756497,Incomplete,2,2,Argentina
756498,Incomplete,2,3,Argentina
756499,Incomplete,3,3,Argentina
7564100,Incomplete,3,3,Argentina
7564101,Goal,3,3,Argentina
7564103,Incomplete,2,3,Argentina
7564104,Incomplete,2,3,Argentina
7564105,Incomplete,3,3,Argentina
7564106,Out,3,3,Argentina
7564108,Incomplete,2,2,Argentina
7564109,Incomplete,2,3,Argentina
7564114,Incomplete,1,2,Argentina
7564116,Out,2,3,Argentina
7564118,Incomplete,1,2,Argentina
7564119,Incomplete,2,3,Argentina
7564122,Out,1,2,Argentina
7564125,Incomplete,1,2,Argentina
7564126,Incomplete,2,3,Argentina
7564128,Incomplete,3,None,Argentina
7564131,Incomplete,1,2,Argentina
7564137,Incomplete,2,3,Argentina
7564139,Off T,1,3,Argentina
7564141,Incomplete,1,3,Argentina
7564143,Incomplete,1,2,Argentina
7564145,Incomplete,2,3,Argentina
7564147,Incomplete,2,2,Argentina
7564150,Off T,1,3,Argentina
7564153,Incomplete,1,None,Argentina
7564155,Incomplete,1,2,Argentina
7564157,Out,1,2,Argentina
7564159,Incomplete,1,2,Argentina
7564162,Saved,1,3,Argentina
7564163,Off T,3,3,Argentina
7564165,Incomplete,2,2,Argentina
7564166,Incomplete,2,3,Argentina
7564168,Incomplete,1,1,Argentina
7564169,Incomplete,2,3,Argentina
7564171,Out,1,2,Argentina
7564173,Incomplete,1,1,Argentina
7564175,Incomplete,1,1,Argentina
7564176,Incomplete,1,2,Argentina
7564178,Incomplete,1,1,Argentina
7564179,Incomplete,1,3,Argentina
75492,Incomplete,2,2,Iceland
75497,Incomplete,1,3,Iceland
75499,Incomplete,1,2,Iceland
754913,Incomplete,1,2,Iceland
754914,Incomplete,2,3,Iceland
754915,Incomplete,3,3,Iceland
754916,Incomplete,3,1,Iceland
754918,Incomplete,1,2,Iceland
754920,Incomplete,2,3,Iceland
754922,Out,2,3,Iceland
754924,Out,1,2,Iceland
754926,Incomplete,2,2,Iceland
754927,Incomplete,2,2,Iceland
754928,Incomplete,3,3,Iceland
754929,Incomplete,3,3,Iceland
754933,Incomplete,1,2,Iceland
754936,Incomplete,1,3,Iceland
754937,Incomplete,3,3,Iceland
754938,Incomplete,3,3,Iceland
754939,Incomplete,3,3,Iceland
754941,Incomplete,3,2,Iceland
754943,Incomplete,2,3,Iceland
754947,Incomplete,1,2,Iceland
754948,Out,2,2,Iceland
754950,Incomplete,2,2,Iceland
754953,Out,1,3,Iceland
754957,Out,1,3,Iceland
754959,Incomplete,2,3,Iceland
754960,Incomplete,3,2,Iceland
754962,Incomplete,1,2,Iceland
754963,Out,2,3,Iceland
754965,Incomplete,1,3,Iceland
754969,Incomplete,1,1,Iceland
754971,Incomplete,2,3,Iceland
754974,Incomplete,2,3,Iceland
754975,Incomplete,3,3,Iceland
754976,Out,3,3,Iceland
754978,Incomplete,2,2,Iceland
754981,Incomplete,1,3,Iceland
754982,Incomplete,2,3,Iceland
754983,Out,3,3,Iceland
754986,Incomplete,1,3,Iceland
754989,Incomplete,1,1,Iceland
754991,Saved,2,3,Iceland
754994,Incomplete,2,3,Iceland
754996,Incomplete,1,2,Iceland
754998,Incomplete,1,2,Iceland
7549101,Goal,2,3,Iceland
7549103,Incomplete,2,2,Iceland
7549105,Out,2,2,Iceland
7549107,Incomplete,1,1,Iceland
7549108,Saved,1,3,Iceland
7549109,Incomplete,3,3,Iceland
7549112,Incomplete,1,2,Iceland
7549114,Incomplete,2,3,Iceland
7549117,Incomplete,2,3,Iceland
7549120,Off T,1,3,Iceland
7549122,Incomplete,2,None,Iceland
7549124,Incomplete,1,3,Iceland
7549126,Incomplete,1,2,Iceland
7549128,Blocked,1,3,Iceland
7549129,Incomplete,3,3,Iceland
7549130,Off T,3,3,Iceland
7549131,Out,2,2,Iceland
7549133,Incomplete,1,3,Iceland
7549135,Incomplete,2,3,Iceland
7549136,Off T,3,3,Iceland
7549138,Blocked,2,3,Iceland
7549140,Goal,1,3,Iceland
7549142,Incomplete,1,3,Iceland
7549143,Incomplete,2,3,Iceland
7549144,Blocked,3,3,Iceland
7549147,Incomplete,3,2,Iceland
7549149,Off T,2,3,Iceland
7549151,Incomplete,3,2,Iceland
7549153,Incomplete,1,3,Iceland
7549157,Incomplete,1,2,Iceland
7549158,Blocked,2,2,Iceland
7549161,Incomplete,2,2,Iceland
7549163,Incomplete,2,3,Iceland
7549166,Incomplete,2,2,Iceland
7549170,Out,2,3,Iceland
7549172,Incomplete,2,2,Iceland
7549174,Incomplete,1,2,Iceland
7549176,Blocked,3,3,Iceland
75292,Incomplete,2,3,Croatia
75293,Incomplete,3,3,Croatia
75295,Incomplete,2,2,Croatia
75296,Incomplete,1,3,Croatia
75299,Incomplete,1,2,Croatia
752911,Incomplete,1,2,Croatia
752913,Incomplete,1,2,Croatia
752914,Incomplete,2,2,Croatia
752915,Incomplete,2,3,Croatia
752917,Incomplete,1,2,Croatia
752920,Incomplete,1,2,Croatia
752922,Incomplete,1,3,Croatia
752925,Out,1,3,Croatia
752927,Incomplete,2,3,Croatia
752930,Blocked,3,3,Croatia
