players
"('Ahmed Musa', 'Left Defensive Midfield')"
"('Francis Odinaka Uzoho', 'Goalkeeper')"
"('Kenneth Josiah Omeruo', 'Left Back')"
"('John Michael Nchekwube Obinna', 'Center Attacking Midfield')"
"('Brian Oladapo Idowu', 'Left Back')"
"('Onyinye Wilfred Ndidi', 'Right Center Midfield')"
"('Oghenekaro Etebo', 'Left Center Midfield')"
"('Onyinye Wilfred Ndidi', 'Center Midfield')"
"('Leon-Aderemi Balogun', 'Left Center Back')"
"('John Michael Nchekwube Obinna', 'Center Defensive Midfield')"
"('Leon-Aderemi Balogun', 'Right Center Back')"
"('Kelechi Promise Iheanacho', 'Left Center Forward')"
"('William Troost-Ekong', 'Left Center Back')"
"('William Troost-Ekong', 'Center Back')"
"('Oghenekaro Etebo', 'Left Midfield')"
"('John Michael Nchekwube Obinna', 'Center Midfield')"
"('Odion Jude Ighalo', 'Right Center Forward')"
"('Alex Iwobi', 'Center Attacking Midfield')"
"('Simeon Tochukwu Nwankwo', 'Left Center Forward')"
"('Kelechi Promise Iheanacho', 'Center Forward')"
"('Victor Moses', 'Right Back')"
"('Ahmed Musa', 'Right Center Forward')"
"('Odion Jude Ighalo', 'Left Center Forward')"
"('Simeon Tochukwu Nwankwo', 'Center Attacking Midfield')"
"('Kenneth Josiah Omeruo', 'Left Center Back')"
"('Victor Moses', 'Right Wing Back')"
"('Kelechi Promise Iheanacho', 'Right Center Forward')"
"('Alex Iwobi', 'Left Defensive Midfield')"
"('William Troost-Ekong', 'Right Center Back')"
"('Odion Jude Ighalo', 'Center Forward')"
"('Victor Moses', 'Right Midfield')"
"('Tyronne Ebuehi', 'Left Midfield')"
"('Abdullahi Shehu', 'Right Back')"
"('Brian Oladapo Idowu', 'Left Midfield')"
"('John Michael Nchekwube Obinna', 'Left Center Midfield')"
"('Ahmed Musa', 'Left Center Forward')"
"('Brian Oladapo Idowu', 'Left Wing Back')"
"('Victor Moses', 'Right Wing')"
