caseID,result,start_Zone,end_Zone,opponent
75692,Incomplete,2,3,Tunisia
75696,Incomplete,1,3,Tunisia
75697,Incomplete,3,3,Tunisia
756913,Incomplete,1,2,Tunisia
756915,Incomplete,2,3,Tunisia
756917,Off T,2,3,Tunisia
756919,Incomplete,1,2,Tunisia
756920,Incomplete,2,3,Tunisia
756921,Incomplete,3,3,Tunisia
756925,Pass Offside,2,3,Tunisia
756927,Incomplete,1,1,Tunisia
756928,Incomplete,2,3,Tunisia
756930,Incomplete,1,3,Tunisia
756932,Out,1,2,Tunisia
756934,Incomplete,1,2,Tunisia
756941,Incomplete,1,2,Tunisia
756943,Incomplete,2,3,Tunisia
756945,Incomplete,2,2,Tunisia
756947,Incomplete,2,3,Tunisia
756948,Incomplete,2,2,Tunisia
756950,Incomplete,1,1,Tunisia
756951,Incomplete,2,3,Tunisia
756953,Incomplete,2,3,Tunisia
756955,Out,1,1,Tunisia
756958,Incomplete,1,2,Tunisia
756959,Pass Offside,2,3,Tunisia
756961,Incomplete,1,3,Tunisia
756963,Incomplete,1,3,Tunisia
756965,Incomplete,1,2,Tunisia
756966,Blocked,2,3,Tunisia
756968,Incomplete,2,3,Tunisia
756969,Incomplete,3,3,Tunisia
756970,Incomplete,3,3,Tunisia
756974,Incomplete,1,2,Tunisia
756976,Incomplete,1,2,Tunisia
756977,Incomplete,3,3,Tunisia
756979,Incomplete,1,3,Tunisia
756980,Incomplete,3,3,Tunisia
756982,Incomplete,2,3,Tunisia
756983,Incomplete,3,3,Tunisia
756986,Incomplete,2,2,Tunisia
756988,Incomplete,1,1,Tunisia
756992,Incomplete,1,3,Tunisia
756994,Incomplete,2,3,Tunisia
756997,Incomplete,1,None,Tunisia
756999,Incomplete,2,3,Tunisia
7569100,Incomplete,2,3,Tunisia
7569103,Incomplete,1,2,Tunisia
7569107,Incomplete,1,2,Tunisia
7569110,Incomplete,1,2,Tunisia
7569111,Incomplete,2,3,Tunisia
7569114,Incomplete,1,3,Tunisia
7569116,Incomplete,1,2,Tunisia
7569117,Incomplete,2,2,Tunisia
7569118,Saved,2,3,Tunisia
7569120,Incomplete,2,3,Tunisia
7569122,Incomplete,1,1,Tunisia
7569123,Incomplete,2,2,Tunisia
7569125,Incomplete,1,1,Tunisia
7569126,Incomplete,2,3,Tunisia
7569127,Saved,3,3,Tunisia
7569129,Incomplete,2,3,Tunisia
7569133,Incomplete,2,3,Tunisia
7569135,Incomplete,2,2,Tunisia
7569137,Incomplete,2,2,Tunisia
7569138,Incomplete,3,3,Tunisia
7569140,Incomplete,2,3,Tunisia
7569145,Incomplete,1,3,Tunisia
7569147,Incomplete,1,1,Tunisia
7569148,Out,2,3,Tunisia
7569151,Incomplete,2,3,Tunisia
7569153,Incomplete,1,2,Tunisia
7569155,Incomplete,1,3,Tunisia
7569157,Out,2,3,Tunisia
7569159,Incomplete,2,None,Tunisia
7569161,Pass Offside,2,3,Tunisia
7569164,Incomplete,2,3,Tunisia
7569166,Off T,2,3,Tunisia
7569168,Incomplete,1,3,Tunisia
7569169,Saved,3,3,Tunisia
75362,Incomplete,2,3,Belgium
75364,Incomplete,1,1,Belgium
75366,Incomplete,1,3,Belgium
75368,Incomplete,1,3,Belgium
75369,Incomplete,3,3,Belgium
753613,Incomplete,1,1,Belgium
753614,Incomplete,1,2,Belgium
753621,Incomplete,1,1,Belgium
753623,Incomplete,1,1,Belgium
753626,Incomplete,2,2,Belgium
753629,Incomplete,1,1,Belgium
753631,Incomplete,1,3,Belgium
753633,Incomplete,2,2,Belgium
753634,Incomplete,2,2,Belgium
753635,Incomplete,2,3,Belgium
753636,Incomplete,1,2,Belgium
753638,Incomplete,1,3,Belgium
753640,Incomplete,3,None,Belgium
753642,Incomplete,2,3,Belgium
753645,Incomplete,1,2,Belgium
753647,Incomplete,1,3,Belgium
753651,Incomplete,1,3,Belgium
753653,Incomplete,2,3,Belgium
753655,Incomplete,1,3,Belgium
753658,Incomplete,2,None,Belgium
753660,Incomplete,1,2,Belgium
753662,Incomplete,1,2,Belgium
753669,Incomplete,2,None,Belgium
753671,Incomplete,1,2,Belgium
753674,Incomplete,1,3,Belgium
753675,Incomplete,3,3,Belgium
753677,Incomplete,1,3,Belgium
753679,Incomplete,1,2,Belgium
753682,Incomplete,1,3,Belgium
753683,Incomplete,3,3,Belgium
753686,Off T,2,3,Belgium
753689,Incomplete,2,3,Belgium
753691,Incomplete,1,3,Belgium
753693,Incomplete,1,2,Belgium
753695,Incomplete,1,2,Belgium
753696,Incomplete,2,2,Belgium
753697,Incomplete,3,3,Belgium
7536103,Incomplete,2,3,Belgium
7536107,Incomplete,2,3,Belgium
7536109,Incomplete,1,3,Belgium
7536113,Incomplete,1,3,Belgium
7536115,Incomplete,1,3,Belgium
7536116,Saved,2,3,Belgium
7536117,Off T,3,3,Belgium
7536119,Incomplete,2,3,Belgium
7536120,Incomplete,3,3,Belgium
7536123,Off T,1,3,Belgium
7536125,Out,1,3,Belgium
7536127,Incomplete,1,1,Belgium
7536129,Incomplete,1,1,Belgium
7536132,Pass Offside,1,3,Belgium
7536137,Incomplete,1,2,Belgium
7536140,Out,2,3,Belgium
7536142,Incomplete,1,3,Belgium
7536143,Incomplete,2,3,Belgium
7536145,Incomplete,3,3,Belgium
