caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
754610,Pass,Throw-in,None,From Throw In,None,None,-0.10673567,28.160255,,José Paolo Guerrero González,00:03:53.310,1,3,1.72,00:03:55.030000,Peru,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,,36.0,80.0,64.0,77.0,None,None,Peru,France,Pass_Throw-in,Pass_1,Pass_Throw-in_1
754610,Pass,None,None,From Throw In,None,None,-0.7378151,14.866069,,Christian Alberto Cueva Bravo,00:03:55.030,1,3,1.88,00:03:56.910000,Peru,Peru,José Paolo Guerrero González,Center Forward,Head,64.0,77.0,75.0,67.0,None,Incomplete,Peru,France,Pass_None,Pass_2,Pass_None_1
754610,Pass,Recovery,None,From Throw In,None,None,-0.6435010999999999,5.0,,Víctor Yoshimar Yotún Flores,00:04:00.710,1,4,2.16,00:04:02.870000,Peru,Peru,Pedro Jesús Aquino Sánchez,Right Defensive Midfield,,54.0,67.0,58.0,64.0,None,None,Peru,France,Pass_Recovery,Pass_4,Pass_Recovery_2
754610,Pass,None,None,From Throw In,None,None,-2.5535900000000002,3.6055512000000003,,Pedro Jesús Aquino Sánchez,00:04:02.870,1,4,0.653,00:04:03.523000,Peru,Peru,Víctor Yoshimar Yotún Flores,Left Defensive Midfield,Right Foot,57.0,64.0,54.0,62.0,None,None,Peru,France,Pass_None,Pass_5,Pass_None_2
754610,Pass,None,None,From Throw In,True,None,-0.047583103,21.023796,,Christian Alberto Cueva Bravo,00:04:06.510,1,4,1.4,00:04:07.910000,Peru,Peru,Pedro Jesús Aquino Sánchez,Right Defensive Midfield,Right Foot,48.0,78.0,69.0,77.0,None,Incomplete,Peru,France,Pass_None,Pass_6,Pass_None_3
7546100,Pass,Goal Kick,None,From Goal Kick,None,None,0.15741688,63.788715,,,00:46:14.070,1,46,3.4130000000000003,00:46:17.483000,Peru,Peru,Pedro David Gallese Quiróz,Goalkeeper,Left Foot,6.0,45.0,69.0,55.0,None,Incomplete,Peru,France,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7546100,Pass,Recovery,None,From Goal Kick,None,None,1.0303768,11.661903,,,00:46:18.150,1,46,1.213,00:46:19.363000,Peru,Peru,Pedro Jesús Aquino Sánchez,Right Defensive Midfield,Right Foot,58.0,63.0,64.0,73.0,None,Incomplete,Peru,France,Pass_Recovery,Pass_3,Pass_Recovery_2
7546100,Pressure,None,None,From Goal Kick,None,None,,,,,00:46:19.350,1,46,2.013,00:46:21.363000,Peru,Peru,José Paolo Guerrero González,Center Forward,,69.0,63.0,,,None,None,Peru,France,Pressure_None,Pressure_1,Pressure_None_1
7546102,Ball Recovery,None,None,Regular Play,True,None,,,,,00:46:44.870,1,46,,None,Peru,Peru,André Martín Carrillo Díaz,Right Midfield,,68.0,74.0,,,None,None,Peru,France,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7546102,Dribble,None,None,Regular Play,None,None,,,,,00:46:46.350,1,46,,None,Peru,Peru,André Martín Carrillo Díaz,Right Midfield,,65.0,75.0,,,None,Complete,Peru,France,Dribble_None,Dribble_1,Dribble_None_1
7546102,Dribble,None,None,Regular Play,None,None,,,,,00:46:47.110,1,46,,None,Peru,Peru,André Martín Carrillo Díaz,Right Midfield,,70.0,76.0,,,None,Incomplete,Peru,France,Dribble_None,Dribble_2,Dribble_None_2
7546102,Pressure,None,None,Regular Play,None,None,,,,,00:46:50.270,1,46,0.493,00:46:50.763000,Peru,Peru,André Martín Carrillo Díaz,Right Midfield,,62.0,77.0,,,None,None,Peru,France,Pressure_None,Pressure_1,Pressure_None_1
7546102,Interception,None,None,Regular Play,None,None,,,,,00:46:52.910,1,46,,None,Peru,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,,25.0,51.0,,,None,Success In Play,Peru,France,Interception_None,Interception_1,Interception_None_1
7546102,Ball Recovery,None,None,Regular Play,True,None,,,,,00:46:54.870,1,46,,None,Peru,Peru,Christian Guillermo Martín Ramos Garagay,Right Center Back,,22.0,63.0,,,None,None,Peru,France,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7546102,Dribble,None,None,Regular Play,True,None,,,,,00:46:55.270,1,46,,None,Peru,Peru,Christian Guillermo Martín Ramos Garagay,Right Center Back,,23.0,63.0,,,None,Complete,Peru,France,Dribble_None,Dribble_3,Dribble_None_3
7546103,Pass,Kick Off,None,From Kick Off,None,None,3.1415927000000003,13.0,,Jefferson Agustín Farfán Guadalupe,00:00:00.100,2,45,1.2,00:00:01.300000,Peru,Peru,José Paolo Guerrero González,Center Forward,Right Foot,61.0,41.0,48.0,41.0,None,None,Peru,France,Pass_Kick Off,Pass_1,Pass_Kick Off_1
7546103,Pass,None,None,From Kick Off,None,None,1.971037,28.231188,,Luis Jan Piers Advíncula Castrillón,00:00:01.320,2,45,2.08,00:00:03.400000,Peru,Peru,Jefferson Agustín Farfán Guadalupe,Center Attacking Midfield,Right Foot,48.0,41.0,37.0,67.0,None,None,Peru,France,Pass_None,Pass_2,Pass_None_1
7546103,Pass,None,None,From Kick Off,None,None,-2.2794225,18.439089000000003,,Christian Guillermo Martín Ramos Garagay,00:00:04.240,2,45,1.6,00:00:05.840000,Peru,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,Right Foot,38.0,67.0,26.0,53.0,None,None,Peru,France,Pass_None,Pass_3,Pass_None_2
7546103,Pass,None,None,From Kick Off,None,None,1.4758446000000003,21.095022,,Luis Jan Piers Advíncula Castrillón,00:00:10.840,2,45,1.64,00:00:12.480000,Peru,Peru,Christian Guillermo Martín Ramos Garagay,Right Center Back,Right Foot,37.0,57.0,39.0,78.0,None,None,Peru,France,Pass_None,Pass_4,Pass_None_3
7546103,Pass,None,None,From Kick Off,None,None,-2.0576956,19.235384,,Christian Guillermo Martín Ramos Garagay,00:00:15.360,2,45,1.4,00:00:16.760000,Peru,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,Right Foot,38.0,74.0,29.0,57.0,None,None,Peru,France,Pass_None,Pass_5,Pass_None_4
7546103,Pass,None,None,From Kick Off,None,None,-1.6078165,27.018513000000002,,Anderson Santamaría Bardales,00:00:18.200,2,45,2.44,00:00:20.640000,Peru,Peru,Christian Guillermo Martín Ramos Garagay,Right Center Back,Right Foot,32.0,56.0,31.0,29.0,None,None,Peru,France,Pass_None,Pass_6,Pass_None_5
7546103,Pass,None,None,From Kick Off,None,None,-1.3567356000000002,23.537205,,Miguel Ángel Trauco Saavedra,00:00:21.200,2,45,1.64,00:00:22.840000,Peru,Peru,Anderson Santamaría Bardales,Left Center Back,Right Foot,33.0,26.0,38.0,3.0,None,None,Peru,France,Pass_None,Pass_7,Pass_None_6
7546103,Pass,None,None,From Kick Off,None,None,0.7086263,9.219544,,José Paolo Guerrero González,00:00:24.520,2,45,0.96,00:00:25.480000,Peru,Peru,Miguel Ángel Trauco Saavedra,Left Back,Left Foot,46.0,3.0,53.0,9.0,None,Incomplete,Peru,France,Pass_None,Pass_8,Pass_None_7
7546105,Pass,Free Kick,None,From Free Kick,None,None,-0.18109265,72.18033,,,00:01:17.320,2,46,3.8,00:01:21.120000,Peru,Peru,Pedro David Gallese Quiróz,Goalkeeper,Left Foot,19.0,64.0,90.0,51.0,None,Unknown,Peru,France,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7546105,Foul Committed,None,None,From Free Kick,None,None,,,,,00:01:21.533,2,46,,None,Peru,Peru,Jefferson Agustín Farfán Guadalupe,Center Attacking Midfield,,84.0,48.0,,,None,None,Peru,France,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
