caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
757210,Pass,Recovery,None,Regular Play,None,None,-0.35877067,8.5440035,,Robert Lewandowski,00:04:08.770,1,4,1.24,00:04:10.010000,Poland,Poland,Piotr Zieliński,Center Attacking Midfield,Right Foot,58.0,40.0,66.0,37.0,None,None,Poland,Japan,Pass_Recovery,Pass_1,Pass_Recovery_1
757210,Pass,None,None,Regular Play,None,None,0.6489956,36.40055,,Kamil Grosicki,00:04:10.330,1,4,2.4,00:04:12.730000,Poland,Poland,Robert Lewandowski,Center Forward,Right Foot,66.0,37.0,95.0,59.0,None,None,Poland,Japan,Pass_None,Pass_2,Pass_None_1
757210,Pass,None,None,Regular Play,True,None,-1.3734008,20.396078,,Robert Lewandowski,00:04:14.050,1,4,1.52,00:04:15.570000,Poland,Poland,Kamil Grosicki,Right Wing,Right Foot,104.0,59.0,108.0,39.0,None,None,Poland,Japan,Pass_None,Pass_3,Pass_None_2
757210,Miscontrol,None,None,Regular Play,None,None,,,,,00:04:15.690,1,4,,None,Poland,Poland,Robert Lewandowski,Center Forward,,108.0,39.0,,,None,None,Poland,Japan,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
757210,Ball Recovery,None,None,Regular Play,None,None,,,,,00:04:19.570,1,4,,None,Poland,Poland,Kamil Grosicki,Right Wing,,99.0,76.0,,,None,None,Poland,Japan,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
757210,Pass,None,None,Regular Play,True,None,-1.3258177,32.984844,,Robert Lewandowski,00:04:21.530,1,4,1.28,00:04:22.810000,Poland,Poland,Kamil Grosicki,Right Wing,Right Foot,103.0,77.0,111.0,45.0,None,Incomplete,Poland,Japan,Pass_None,Pass_4,Pass_None_3
7572100,Ball Recovery,None,None,Regular Play,None,None,,,,,00:06:16.760,2,51,,None,Poland,Poland,Rafał Kurzawa,Left Wing,,18.0,32.0,,,None,None,Poland,Japan,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7572100,Pass,None,None,Regular Play,True,None,0.8441540000000001,12.0415945,,Jacek Góralski,00:06:19.760,2,51,1.0,00:06:20.760000,Poland,Poland,Rafał Kurzawa,Left Wing,Left Foot,15.0,20.0,23.0,29.0,None,None,Poland,Japan,Pass_None,Pass_1,Pass_None_1
7572100,Pass,None,None,Regular Play,True,None,-0.6310794,32.202484000000005,,Rafał Kurzawa,00:06:22.160,2,51,1.88,00:06:24.040000,Poland,Poland,Jacek Góralski,Left Defensive Midfield,Left Foot,16.0,24.0,42.0,5.0,None,Incomplete,Poland,Japan,Pass_None,Pass_2,Pass_None_2
7572101,Pass,Goal Kick,None,From Goal Kick,None,None,-0.5800028,69.339745,,Artur Jędrzejczyk,00:06:57.320,2,51,3.12,00:07:00.440000,Poland,Poland,Łukasz Fabiański,Goalkeeper,Right Foot,6.0,42.0,64.0,4.0,None,Incomplete,Poland,Japan,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7572103,Pass,Throw-in,None,From Throw In,None,None,0.49180920000000006,31.764761,,Robert Lewandowski,00:07:17.400,2,52,1.6,00:07:19,Poland,Poland,Artur Jędrzejczyk,Left Back,,66.0,1.0,94.0,16.0,None,Incomplete,Poland,Japan,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7572105,Pass,Recovery,None,Regular Play,None,None,-2.6224465,8.062258,,Rafał Kurzawa,00:07:42.120,2,52,0.88,00:07:43,Poland,Poland,Piotr Zieliński,Center Attacking Midfield,Right Foot,34.0,34.0,27.0,30.0,None,None,Poland,Japan,Pass_Recovery,Pass_1,Pass_Recovery_1
7572105,Pass,None,None,Regular Play,None,None,0.5404194999999999,23.323807000000002,,Robert Lewandowski,00:07:43.080,2,52,1.68,00:07:44.760000,Poland,Poland,Rafał Kurzawa,Left Wing,Left Foot,26.0,29.0,46.0,41.0,None,None,Poland,Japan,Pass_None,Pass_2,Pass_None_1
7572105,Pass,None,None,Regular Play,True,None,-1.3258177,4.1231055,,Piotr Zieliński,00:07:45.400,2,52,0.64,00:07:46.040000,Poland,Poland,Robert Lewandowski,Center Forward,Right Foot,46.0,39.0,47.0,35.0,None,None,Poland,Japan,Pass_None,Pass_3,Pass_None_2
7572105,Pass,None,None,Regular Play,None,None,0.5813802,41.880783,,Kamil Grosicki,00:07:47.000,2,52,3.32,00:07:50.320000,Poland,Poland,Piotr Zieliński,Center Attacking Midfield,Right Foot,56.0,41.0,91.0,64.0,None,None,Poland,Japan,Pass_None,Pass_4,Pass_None_3
7572105,Pass,None,None,Regular Play,None,None,-0.98279375,28.844409999999996,,Piotr Zieliński,00:07:50.440,2,52,2.213,00:07:52.653000,Poland,Poland,Kamil Grosicki,Right Wing,Right Foot,91.0,64.0,107.0,40.0,None,Incomplete,Poland,Japan,Pass_None,Pass_5,Pass_None_4
7572108,Pass,Recovery,None,Regular Play,None,None,-0.6340226999999999,42.201896999999995,,Robert Lewandowski,00:10:08.440,2,55,2.28,00:10:10.720000,Poland,Poland,Jacek Góralski,Left Defensive Midfield,Left Foot,20.0,26.0,54.0,1.0,None,Out,Poland,Japan,Pass_Recovery,Pass_1,Pass_Recovery_1
7572110,Pass,Recovery,None,From Counter,None,None,0.0,8.0,,Jacek Góralski,00:10:51.840,2,55,0.76,00:10:52.600000,Poland,Poland,Jan Bednarek,Left Center Back,Right Foot,28.0,22.0,36.0,22.0,None,None,Poland,Japan,Pass_Recovery,Pass_1,Pass_Recovery_1
7572110,Pass,None,None,From Counter,True,None,-1.1760051999999999,13.0,,Grzegorz Krychowiak,00:10:52.920,2,55,0.72,00:10:53.640000,Poland,Poland,Jacek Góralski,Left Defensive Midfield,Right Foot,36.0,22.0,41.0,10.0,None,None,Poland,Japan,Pass_None,Pass_2,Pass_None_1
7572110,Pass,None,None,From Counter,None,None,1.3258177,8.246211,,,00:10:56.160,2,55,0.413,00:10:56.573000,Poland,Poland,Grzegorz Krychowiak,Right Defensive Midfield,Right Foot,55.0,14.0,57.0,22.0,None,Incomplete,Poland,Japan,Pass_None,Pass_3,Pass_None_2
7572110,Pass,Recovery,None,From Counter,None,None,2.164546,48.259712,,Bartosz Bereszyński,00:10:58.320,2,55,4.28,00:11:02.600000,Poland,Poland,Jacek Góralski,Left Defensive Midfield,Right Foot,56.0,37.0,29.0,77.0,None,None,Poland,Japan,Pass_Recovery,Pass_4,Pass_Recovery_2
7572110,Pass,None,None,From Counter,None,None,-1.8925468999999997,3.1622777,,Kamil Glik,00:11:04.080,2,56,0.24,00:11:04.320000,Poland,Poland,Bartosz Bereszyński,Right Back,Right Foot,29.0,77.0,28.0,74.0,None,Incomplete,Poland,Japan,Pass_None,Pass_5,Pass_None_3
7572113,Pass,Goal Kick,None,From Goal Kick,None,None,0.31362066,77.7946,,Robert Lewandowski,00:12:52.440,2,57,3.68,00:12:56.120000,Poland,Poland,Łukasz Fabiański,Goalkeeper,Right Foot,6.0,47.0,80.0,71.0,None,Incomplete,Poland,Japan,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7572113,Pressure,None,None,From Goal Kick,None,None,,,,,00:12:57.600,2,57,0.96,00:12:58.560000,Poland,Poland,Jacek Góralski,Left Defensive Midfield,,64.0,63.0,,,None,None,Poland,Japan,Pressure_None,Pressure_1,Pressure_None_1
7572113,Interception,None,None,From Goal Kick,None,None,,,,,00:12:59.400,2,57,,None,Poland,Poland,Rafał Kurzawa,Left Wing,,70.0,58.0,,,None,Lost In Play,Poland,Japan,Interception_None,Interception_1,Interception_None_1
7572113,Ball Recovery,None,None,From Goal Kick,None,None,,,,,00:13:01.040,2,58,,None,Poland,Poland,Grzegorz Krychowiak,Right Defensive Midfield,,58.0,54.0,,,None,None,Poland,Japan,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7572113,Pass,None,None,From Goal Kick,None,None,-0.09065989,11.045361,,Rafał Kurzawa,00:13:02.320,2,58,0.88,00:13:03.200000,Poland,Poland,Grzegorz Krychowiak,Right Defensive Midfield,Right Foot,62.0,55.0,73.0,54.0,None,None,Poland,Japan,Pass_None,Pass_5,Pass_None_2
7572113,Dribble,None,None,From Goal Kick,None,None,,,,,00:13:04.240,2,58,,None,Poland,Poland,Rafał Kurzawa,Left Wing,,77.0,52.0,,,None,Complete,Poland,Japan,Dribble_None,Dribble_1,Dribble_None_1
