players
"('João Mário Naval da Costa Eduardo', 'Right Midfield')"
"('Bernardo Mota Veiga de Carvalho e Silva', 'Center Attacking Midfield')"
"('Rúben Santos Gato Alves Dias', 'Right Back')"
"('Rui Pedro dos Santos Patrício', 'Goalkeeper')"
"('William Silva de Carvalho', 'Left Center Midfield')"
"('João Mário Naval da Costa Eduardo', 'Right Center Midfield')"
"('Cristiano Ronaldo dos Santos Aveiro', 'Left Wing')"
"('Manuel Henrique Tavares Fernandes', 'Right Center Midfield')"
"('André Miguel Valente Silva', 'Center Forward')"
"('João Filipe Iria Santos Moutinho', 'Right Center Midfield')"
"('Ricardo Andrade Quaresma Bernardo', 'Right Wing')"
"('Cédric Ricardo Alves Soares', 'Right Back')"
"('Ricardo Domingos Barbosa Pereira', 'Right Back')"
"('Raphaël Adelino José Guerreiro', 'Left Back')"
"('Gonçalo Manuel Ganchinho Guedes', 'Right Center Forward')"
"('Bernardo Mota Veiga de Carvalho e Silva', 'Right Wing')"
"('Ricardo Andrade Quaresma Bernardo', 'Right Midfield')"
"('José Miguel da Rocha Fonte', 'Left Center Back')"
"('João Mário Naval da Costa Eduardo', 'Left Midfield')"
"('André Miguel Valente Silva', 'Right Center Forward')"
"('João Filipe Iria Santos Moutinho', 'Left Midfield')"
"('Bruno Miguel Borges Fernandes', 'Left Midfield')"
"('Gonçalo Manuel Ganchinho Guedes', 'Left Midfield')"
"('Bernardo Mota Veiga de Carvalho e Silva', 'Right Midfield')"
"('Bernardo Mota Veiga de Carvalho e Silva', 'Right Center Forward')"
"('Gelson Dany Batalha Martins', 'Right Midfield')"
"('William Silva de Carvalho', 'Left Defensive Midfield')"
"('Adrien Sebastian Perruchet Silva', 'Right Center Midfield')"
"('Cristiano Ronaldo dos Santos Aveiro', 'Left Center Forward')"
"('Adrien Sebastian Perruchet Silva', 'Right Defensive Midfield')"
"('Kleper Laveran Lima Ferreira', 'Right Center Back')"
