caseID,result,start_Zone,end_Zone,opponent
75823,Incomplete,1,1,Spain
75824,Incomplete,1,2,Spain
75826,Out,2,2,Spain
75828,Incomplete,1,2,Spain
758210,Incomplete,1,1,Spain
758211,Incomplete,1,3,Spain
758212,Blocked,3,3,Spain
758213,Incomplete,3,3,Spain
758216,Incomplete,1,1,Spain
758218,Incomplete,2,3,Spain
758220,Incomplete,1,3,Spain
758222,Incomplete,1,2,Spain
758225,Pass Offside,2,3,Spain
758227,Incomplete,2,3,Spain
758228,Off T,3,3,Spain
758230,Incomplete,2,3,Spain
758233,Out,1,1,Spain
758235,Incomplete,1,2,Spain
758237,Incomplete,2,3,Spain
758239,Incomplete,2,2,Spain
758241,Incomplete,1,2,Spain
758243,Incomplete,3,3,Spain
758246,Incomplete,1,1,Spain
758247,Incomplete,1,3,Spain
758248,Incomplete,2,3,Spain
758250,Incomplete,3,3,Spain
758252,Incomplete,3,None,Spain
758254,Incomplete,2,3,Spain
758255,Incomplete,3,3,Spain
758257,Incomplete,2,3,Spain
758260,Incomplete,1,2,Spain
758262,Off T,3,3,Spain
758264,Incomplete,1,2,Spain
758266,Incomplete,1,2,Spain
758267,Incomplete,2,3,Spain
758268,Blocked,3,3,Spain
758269,Goal,3,3,Spain
758271,Incomplete,1,1,Spain
758272,Incomplete,1,2,Spain
758273,Incomplete,2,2,Spain
758279,Incomplete,3,3,Spain
758281,Out,1,2,Spain
758283,Incomplete,2,3,Spain
758285,Incomplete,3,3,Spain
758288,Out,3,3,Spain
758294,Incomplete,1,3,Spain
758298,Incomplete,1,1,Spain
758299,Incomplete,1,3,Spain
7582100,Incomplete,3,3,Spain
7582103,Incomplete,1,3,Spain
7582106,Incomplete,1,2,Spain
7582107,Out,2,3,Spain
7582110,Incomplete,1,3,Spain
7582112,Incomplete,2,2,Spain
7582114,Incomplete,1,2,Spain
7582117,Incomplete,1,2,Spain
7582120,Out,2,2,Spain
7582124,Out,1,3,Spain
7582127,Incomplete,1,2,Spain
7582132,Incomplete,1,2,Spain
7582141,Incomplete,1,3,Spain
7582143,Incomplete,2,3,Spain
7582145,Incomplete,3,3,Spain
7582147,Incomplete,1,3,Spain
