caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7559101,Pass,None,None,Regular Play,None,None,1.1341691999999999,16.552946,,Hussain Al Mogahwi,00:15:20.133,2,60,0.68,00:15:20.813000,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Otayf,Center Defensive Midfield,Left Foot,29.0,25.0,36.0,40.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_1,Pass_None_1
7559101,Pass,None,None,Regular Play,None,None,1.237552,27.513634000000003,,Mohammed Al Burayk,00:15:24.133,2,60,2.079,00:15:26.212000,Saudi Arabia,Saudi Arabia,Hussain Al Mogahwi,Right Center Midfield,Right Foot,45.0,52.0,54.0,78.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_2
7559102,Pass,Free Kick,None,From Free Kick,None,None,-1.8313987,15.524175,,Hussain Al Mogahwi,00:15:34.373,2,60,1.12,00:15:35.493000,Saudi Arabia,Saudi Arabia,Mohammed Al Burayk,Right Back,Right Foot,79.0,78.0,75.0,63.0,None,None,Egypt,Saudi Arabia,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7559102,Pass,None,None,From Free Kick,None,None,-1.9756881000000002,7.615773,,Salman Mohammed Al Faraj,00:15:38.653,2,60,0.4,00:15:39.053000,Saudi Arabia,Saudi Arabia,Hussain Al Mogahwi,Right Center Midfield,Right Foot,76.0,53.0,73.0,46.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_1
7559102,Pass,None,None,From Free Kick,None,None,-0.66104317,11.401753999999999,,Fahad Mosaed Al Muwallad Al Harbi,00:15:41.533,2,60,0.8,00:15:42.333000,Saudi Arabia,Saudi Arabia,Salman Mohammed Al Faraj,Left Center Midfield,Left Foot,73.0,33.0,82.0,26.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_3,Pass_None_2
7559102,Pass,None,None,From Free Kick,None,None,-1.7506498,22.36068,,Yasir Gharsan Al Shahrani,00:15:43.693,2,60,1.079,00:15:44.772000,Saudi Arabia,Saudi Arabia,Fahad Mosaed Al Muwallad Al Harbi,Center Forward,Right Foot,87.0,26.0,83.0,4.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_4,Pass_None_3
7559102,Pass,None,None,From Free Kick,None,None,-0.13255154,15.132746,,Salem Mohammed Al Dawsari,00:15:45.933,2,60,0.799,00:15:46.732000,Saudi Arabia,Saudi Arabia,Yasir Gharsan Al Shahrani,Left Back,Right Foot,88.0,7.0,103.0,5.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_5,Pass_None_4
7559102,Pass,None,None,From Free Kick,None,None,2.819842,15.811388,,Yasir Gharsan Al Shahrani,00:15:47.413,2,60,0.68,00:15:48.093000,Saudi Arabia,Saudi Arabia,Salem Mohammed Al Dawsari,Left Midfield,Right Foot,103.0,5.0,88.0,10.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_6,Pass_None_5
7559102,Pass,None,None,From Free Kick,None,None,1.5707964,9.0,,Abdullah Ibrahim Otayf,00:15:50.653,2,60,1.079,00:15:51.732000,Saudi Arabia,Saudi Arabia,Yasir Gharsan Al Shahrani,Left Back,Right Foot,83.0,14.0,83.0,23.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_7,Pass_None_6
7559102,Pass,None,None,From Free Kick,None,None,0.09065989,11.045361,,Fahad Mosaed Al Muwallad Al Harbi,00:15:52.693,2,60,0.5589999999999999,00:15:53.252000,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Otayf,Center Defensive Midfield,Right Foot,80.0,24.0,91.0,25.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_8,Pass_None_7
