players
"('Abdullah Ibrahim Al Maiouf', 'Goalkeeper')"
"('Ali Albulayhi', 'Left Center Back')"
"('Yasir Gharsan Al Shahrani', 'Left Back')"
"('Taisir Jabir Al Jassim', 'Right Center Midfield')"
"('Mohammad Ibrahim Al Sahlawi', 'Center Forward')"
"('Salem Mohammed Al Dawsari', 'Left Midfield')"
"('Salman Mohammed Al Faraj', 'Center Attacking Midfield')"
"('Salman Mohammed Al Faraj', 'Left Wing')"
"('Mohammed Al Burayk', 'Right Back')"
"('Mohammed Khalil Al Owais', 'Goalkeeper')"
"('Mohanad Aseri Abu Radiah', 'Center Forward')"
"('Osama Abdulrezag Hawsawi', 'Right Center Back')"
"('Hattan Babhir', 'Right Midfield')"
"('Abdullah Ibrahim Otayf', 'Center Defensive Midfield')"
"('Fahad Mosaed Al Muwallad Al Harbi', 'Center Forward')"
"('Yehya Sulaiman Al Shehri', 'Right Midfield')"
"('Yasser Abdullah Al Mosailem', 'Goalkeeper')"
"('Omar Ibrahim Omar Othman Hawsawi', 'Left Center Back')"
"('Hattan Babhir', 'Right Wing')"
"('Fahad Mosaed Al Muwallad Al Harbi', 'Right Wing')"
"('Hussain Al Mogahwi', 'Left Center Midfield')"
"('Mohammed Kanoo', 'Right Wing')"
"('Motaz Ali Hassan Hawsawi', 'Left Center Back')"
"('Abdullah Ibrahim Otayf', 'Left Center Midfield')"
"('Salem Mohammed Al Dawsari', 'Left Wing')"
"('Salman Mohammed Al Faraj', 'Left Center Midfield')"
"('Salem Mohammed Al Dawsari', 'Center Attacking Midfield')"
"('Yehya Sulaiman Al Shehri', 'Right Center Midfield')"
"('Mohammad Ibrahim Al Sahlawi', 'Right Center Forward')"
"('Fahad Mosaed Al Muwallad Al Harbi', 'Left Center Forward')"
"('Hussain Al Mogahwi', 'Right Center Midfield')"
"('Mohanad Aseri Abu Radiah', 'Right Center Forward')"
