players
"(""Alfred John Momar N'Diaye"", 'Left Center Midfield')"
"('Moussa Wagué', 'Right Back')"
"(""M'Baye Babacar Niang"", 'Center Forward')"
"('Pape Moussa Konaté', 'Left Center Forward')"
"(""Alfred John Momar N'Diaye"", 'Center Defensive Midfield')"
"('Sadio Mané', 'Right Center Forward')"
"('Pape Moussa Konaté', 'Center Forward')"
"(""M'Baye Babacar Niang"", 'Left Center Forward')"
"(""Cheikh N'Doye"", 'Right Center Forward')"
"('Lamine Gassama', 'Right Back')"
"('Pape Moussa Konaté', 'Left Wing')"
"('Mame Biram Diouf', 'Right Center Forward')"
"(""Khadim N'Diaye"", 'Goalkeeper')"
"('Sadio Mané', 'Left Wing')"
"('Keita Baldé Diao', 'Left Wing')"
"('Youssouf Sabaly', 'Left Back')"
"(""Papa Alioune N'Diaye"", 'Right Center Midfield')"
"('Salif Sané', 'Right Center Back')"
"('Idrissa Gana Gueye', 'Right Center Midfield')"
"('Cheikhou Kouyaté', 'Left Center Midfield')"
"('Moussa Wagué', 'Left Back')"
"('Kalidou Koulibaly', 'Left Center Back')"
"('Ismaïla Sarr', 'Right Wing')"
"(""Cheikh N'Doye"", 'Right Center Midfield')"
"('Cheikhou Kouyaté', 'Right Center Midfield')"
"('Idrissa Gana Gueye', 'Left Center Midfield')"
"('Diafra Sakho', 'Right Center Forward')"
"('Mame Biram Diouf', 'Center Forward')"
"('Cheikhou Kouyaté', 'Center Defensive Midfield')"
