players
"('Sergej Milinković-Savić', 'Right Defensive Midfield')"
"('Aleksandar Mitrović', 'Center Forward')"
"('Nemanja Matić', 'Left Defensive Midfield')"
"('Dušan Tadić', 'Right Midfield')"
"('Dušan Tadić', 'Center Attacking Midfield')"
"('Nemanja Matić', 'Left Center Midfield')"
"('Duško Tošić', 'Left Center Back')"
"('Antonio Rukavina', 'Right Back')"
"('Aleksandar Prijović', 'Center Forward')"
"('Luka Milivojević', 'Right Center Midfield')"
"('Aleksandar Kolarov', 'Left Back')"
"('Adem Ljajić', 'Center Attacking Midfield')"
"('Adem Ljajić', 'Left Wing')"
"('Branislav Ivanović', 'Right Back')"
"('Sergej Milinković-Savić', 'Left Center Midfield')"
"('Filip Kostić', 'Left Midfield')"
"('Nemanja Radonjić', 'Left Wing')"
"('Andrija Živković', 'Center Attacking Midfield')"
"('Nikola Milenković', 'Right Center Back')"
"('Milos Veljkovic', 'Left Center Back')"
"('Sergej Milinković-Savić', 'Center Attacking Midfield')"
"('Antonio Rukavina', 'Right Midfield')"
"('Vladimir Stojković', 'Goalkeeper')"
"('Filip Kostić', 'Left Wing')"
"('Dušan Tadić', 'Right Wing')"
"('Nemanja Matić', 'Right Center Midfield')"
"('Andrija Živković', 'Right Wing')"
"('Adem Ljajić', 'Left Midfield')"
