caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756710,Pass,Throw-in,None,From Throw In,None,None,0.4825133,23.70654,,Seon-Min Moon,00:04:24.960,1,4,1.227,00:04:26.187000,South Korea,South Korea,Chul Hong,Left Back,,72.0,1.0,93.0,12.0,None,Incomplete,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7567101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:14:38.133,2,59,,None,South Korea,South Korea,Chul Hong,Left Back,,11.0,4.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7567101,Pass,None,None,Regular Play,None,None,0.5404194999999999,5.8309517,,Woo-Young Jung,00:14:38.320,2,59,0.96,00:14:39.280000,South Korea,South Korea,Chul Hong,Left Back,Left Foot,12.0,6.0,17.0,9.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567101,Pass,None,None,Regular Play,True,None,-1.7126933000000002,7.0710679999999995,,Seon-Min Moon,00:14:39.280,2,59,0.973,00:14:40.253000,South Korea,South Korea,Woo-Young Jung,Left Center Midfield,Right Foot,17.0,11.0,16.0,4.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567101,Pass,None,None,Regular Play,True,None,-2.976444,12.165525,,Chul Hong,00:14:43.040,2,59,1.093,00:14:44.133000,South Korea,South Korea,Seon-Min Moon,Left Midfield,Right Foot,24.0,5.0,12.0,3.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_3
7567101,Pass,None,None,Regular Play,None,None,0.5438324999999999,50.24938,,,00:14:44.133,2,59,2.707,00:14:46.840000,South Korea,South Korea,Chul Hong,Left Back,Left Foot,12.0,2.0,55.0,28.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_4,Pass_None_4
7567103,Pass,Goal Kick,None,From Goal Kick,None,None,0.5331557,70.83079000000001,,Hee-Chan Hwang,00:15:21.040,2,60,3.92,00:15:24.960000,South Korea,South Korea,Hyun-Woo Cho,Goalkeeper,Right Foot,6.0,41.0,67.0,77.0,None,Incomplete,Germany,South Korea,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7567103,Pressure,None,None,From Goal Kick,None,None,,,,,00:15:29.572,2,60,0.84,00:15:30.412000,South Korea,South Korea,Hee-Chan Hwang,Left Center Forward,,67.0,76.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_1,Pressure_None_1
7567103,Interception,None,None,From Goal Kick,None,None,,,,,00:15:30.240,2,60,,None,South Korea,South Korea,Hee-Chan Hwang,Left Center Forward,,71.0,78.0,,,None,Lost In Play,Germany,South Korea,Interception_None,Interception_1,Interception_None_1
7567105,Pass,Goal Kick,None,From Goal Kick,None,None,0.3385557,75.272835,,Hee-Chan Hwang,00:16:31.200,2,61,3.56,00:16:34.760000,South Korea,South Korea,Hyun-Woo Cho,Goalkeeper,Right Foot,6.0,43.0,77.0,68.0,None,Incomplete,Germany,South Korea,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7567106,Pass,Throw-in,None,From Throw In,None,None,-0.124354996,8.062258,,Hee-Chan Hwang,00:16:47.880,2,61,1.893,00:16:49.773000,South Korea,South Korea,Yong Lee,Right Back,,61.0,80.0,69.0,79.0,None,None,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7567106,Pass,None,None,From Throw In,True,None,-2.2455373,6.403124299999999,,Jae-Sung Lee,00:16:49.880,2,61,0.893,00:16:50.773000,South Korea,South Korea,Hee-Chan Hwang,Left Center Forward,Right Foot,69.0,79.0,65.0,74.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567106,Pass,None,None,From Throw In,True,None,0.0,7.0,,Heung-Min Son,00:16:50.773,2,61,0.56,00:16:51.333000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Left Foot,66.0,74.0,73.0,74.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567106,Miscontrol,None,None,From Throw In,True,None,,,,,00:16:52.120,2,61,,None,South Korea,South Korea,Heung-Min Son,Right Center Forward,,73.0,66.0,,,None,None,Germany,South Korea,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7567106,Pressure,None,None,From Throw In,None,None,,,,,00:16:54.973,2,61,1.639,00:16:56.612000,South Korea,South Korea,Young-Gwon Kim,Left Center Back,,54.0,49.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_4,Pressure_None_4
7567106,Ball Recovery,None,None,From Throw In,None,None,,,,,00:16:56.493,2,61,,None,South Korea,South Korea,Woo-Young Jung,Left Center Midfield,,59.0,45.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7567106,Pass,None,None,From Throw In,True,None,-0.9151007,32.802440000000004,,Seon-Min Moon,00:16:57.920,2,61,2.013,00:16:59.933000,South Korea,South Korea,Woo-Young Jung,Left Center Midfield,Left Foot,56.0,43.0,76.0,17.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_3
7567106,Pass,None,None,From Throw In,None,True,1.5707964,4.0,,Heung-Min Son,00:17:03.480,2,62,0.813,00:17:04.293000,South Korea,South Korea,Seon-Min Moon,Left Midfield,Right Foot,96.0,33.0,96.0,37.0,None,None,Germany,South Korea,Pass_None,Pass_6,Pass_None_4
7567106,Dribble,None,None,From Throw In,True,None,,,,,00:17:05.333,2,62,,None,South Korea,South Korea,Heung-Min Son,Right Center Forward,,97.0,37.0,,,None,Complete,Germany,South Korea,Dribble_None,Dribble_1,Dribble_None_1
7567106,Shot,Open Play,Normal,From Throw In,None,None,,,,,00:17:06.160,2,62,0.973,00:17:07.133000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,96.0,42.0,120.0,44.9,None,Off T,Germany,South Korea,Shot_Open Play,Shot_1,Shot_Open Play_1
7567108,Pass,Throw-in,None,From Throw In,None,None,0.4636476,35.77709,,Jae-Sung Lee,00:17:52.160,2,62,1.413,00:17:53.573000,South Korea,South Korea,Chul Hong,Left Back,,17.0,1.0,49.0,17.0,None,None,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7567108,Pass,None,None,From Throw In,None,None,0.21866895,9.219544,,Heung-Min Son,00:17:53.680,2,62,1.213,00:17:54.893000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Right Foot,48.0,20.0,57.0,22.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567108,Pass,None,None,From Throw In,True,None,2.0344439,6.708203999999999,,Jae-Sung Lee,00:17:55.440,2,62,1.013,00:17:56.453000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,58.0,24.0,55.0,30.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567108,Pass,None,None,From Throw In,None,None,0.5880025999999999,25.23886,,Hee-Chan Hwang,00:17:57.320,2,62,1.093,00:17:58.413000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Right Foot,56.0,35.0,77.0,49.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_4,Pass_None_3
756711,Pass,Throw-in,None,From Throw In,None,None,0.9600704,12.206555,,Ja-Cheol Koo,00:04:37.347,1,4,1.3730000000000002,00:04:38.720000,South Korea,South Korea,Chul Hong,Left Back,,80.0,1.0,87.0,11.0,None,None,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
756711,Pressure,None,None,From Throw In,None,None,,,,,00:04:46.560,1,4,1.24,00:04:47.800000,South Korea,South Korea,Hyun-Soo Jang,Right Center Midfield,,38.0,47.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_2,Pressure_None_2
756711,Clearance,None,None,From Throw In,None,None,,,,,00:04:49.547,1,4,,None,South Korea,South Korea,Young-Sun Yun,Right Center Back,,11.0,59.0,,,None,None,Germany,South Korea,Clearance_None,Clearance_1,Clearance_None_1
7567111,Pass,None,None,Regular Play,None,None,-1.0584068000000002,18.35756,,Young-Gwon Kim,00:19:05.760,2,64,1.3730000000000002,00:19:07.133000,South Korea,South Korea,Hyun-Woo Cho,Goalkeeper,Right Foot,8.0,41.0,17.0,25.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567111,Pass,None,None,Regular Play,None,None,-0.029403288,68.0294,,Seon-Min Moon,00:19:08.760,2,64,3.64,00:19:12.400000,South Korea,South Korea,Young-Gwon Kim,Left Center Back,Left Foot,21.0,19.0,89.0,17.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567111,Pass,Recovery,None,Regular Play,None,None,0.95054686,17.20465,,Heung-Min Son,00:19:13.560,2,64,1.213,00:19:14.773000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Head,77.0,25.0,87.0,39.0,None,None,Germany,South Korea,Pass_Recovery,Pass_4,Pass_Recovery_2
7567111,Pass,None,None,Regular Play,None,None,2.896614,12.369317,,Hyun-Soo Jang,00:19:14.800,2,64,2.04,00:19:16.840000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,88.0,38.0,76.0,41.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_3
7567111,Pass,None,None,Regular Play,True,None,1.1309538000000001,18.788294,,Hee-Chan Hwang,00:19:16.840,2,64,1.5730000000000002,00:19:18.413000,South Korea,South Korea,Hyun-Soo Jang,Right Center Midfield,Left Foot,77.0,41.0,85.0,58.0,None,None,Germany,South Korea,Pass_None,Pass_6,Pass_None_4
7567111,Dribble,None,None,Regular Play,True,None,,,,,00:19:20.893,2,64,,None,South Korea,South Korea,Hee-Chan Hwang,Left Center Forward,,97.0,51.0,,,None,Complete,Germany,South Korea,Dribble_None,Dribble_1,Dribble_None_1
7567111,Pass,None,None,Regular Play,None,None,-0.7853982,8.485281,,Heung-Min Son,00:19:23.453,2,64,0.56,00:19:24.013000,South Korea,South Korea,Hee-Chan Hwang,Left Center Forward,Right Foot,93.0,40.0,99.0,34.0,None,None,Germany,South Korea,Pass_None,Pass_7,Pass_None_5
7567111,Foul Committed,None,None,Regular Play,True,None,,,,,00:19:27.413,2,64,,None,South Korea,South Korea,Heung-Min Son,Right Center Forward,,101.0,53.0,,,None,None,Germany,South Korea,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7567113,Ball Recovery,None,None,From Counter,True,None,,,,,00:20:26.733,2,65,,None,South Korea,South Korea,Chul Hong,Left Back,,17.0,2.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7567113,Dribble,None,None,From Counter,True,None,,,,,00:20:27.893,2,65,,None,South Korea,South Korea,Chul Hong,Left Back,,15.0,7.0,,,None,Complete,Germany,South Korea,Dribble_None,Dribble_1,Dribble_None_1
7567113,Pass,None,None,From Counter,None,None,0.03029376,33.01515,,Seon-Min Moon,00:20:29.080,2,65,1.693,00:20:30.773000,South Korea,South Korea,Chul Hong,Left Back,Left Foot,20.0,5.0,53.0,6.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567113,Pass,None,None,From Counter,None,None,1.2490457,22.135944,,Jae-Sung Lee,00:20:37.920,2,65,1.2930000000000001,00:20:39.213000,South Korea,South Korea,Seon-Min Moon,Left Midfield,Right Foot,86.0,38.0,93.0,59.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567113,Pass,None,None,From Counter,True,None,-1.1659045,15.231546,,Heung-Min Son,00:20:41.600,2,65,0.733,00:20:42.333000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Left Foot,99.0,55.0,105.0,41.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_3
7567113,Pass,None,None,From Counter,None,None,-2.819842,3.1622777,,Seon-Min Moon,00:20:42.520,2,65,0.653,00:20:43.173000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,107.0,42.0,104.0,41.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_4
7567113,Dribble,None,None,From Counter,True,None,,,,,00:20:44.413,2,65,,None,South Korea,South Korea,Seon-Min Moon,Left Midfield,,109.0,32.0,,,None,Complete,Germany,South Korea,Dribble_None,Dribble_2,Dribble_None_2
7567113,Pressure,None,None,From Counter,None,None,,,,,00:21:04.932,2,66,0.68,00:21:05.612000,South Korea,South Korea,Yong Lee,Right Back,,21.0,59.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_6,Pressure_None_6
7567113,Pressure,None,None,From Counter,None,None,,,,,00:21:05.975,2,66,0.638,00:21:06.613000,South Korea,South Korea,Young-Sun Yun,Right Center Back,,18.0,56.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_7,Pressure_None_7
7567113,Ball Recovery,None,None,From Counter,None,None,,,,,00:21:09.213,2,66,,None,South Korea,South Korea,Yong Lee,Right Back,,35.0,67.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7567113,Pass,None,None,From Counter,None,None,-0.81569195,23.345236,,Heung-Min Son,00:21:12.440,2,66,1.253,00:21:13.693000,South Korea,South Korea,Yong Lee,Right Back,Right Foot,59.0,62.0,75.0,45.0,None,None,Germany,South Korea,Pass_None,Pass_11,Pass_None_11
7567115,Pass,Recovery,None,From Counter,True,None,1.2847449,17.720045000000002,,Jae-Sung Lee,00:21:44.693,2,66,2.359,00:21:47.052000,South Korea,South Korea,Seon-Min Moon,Left Midfield,Left Foot,40.0,4.0,45.0,21.0,None,None,Germany,South Korea,Pass_Recovery,Pass_1,Pass_Recovery_1
7567115,Pass,None,None,From Counter,None,None,-0.08314123,24.083189,,Heung-Min Son,00:21:47.053,2,66,1.76,00:21:48.813000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Left Foot,45.0,17.0,69.0,15.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567115,Pass,None,None,From Counter,True,None,1.6539376000000001,12.0415945,,Jae-Sung Lee,00:21:49.920,2,66,1.2930000000000001,00:21:51.213000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,65.0,9.0,64.0,21.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567115,Pass,None,None,From Counter,None,None,-1.2847449,17.720045000000002,,Heung-Min Son,00:21:53.560,2,66,0.893,00:21:54.453000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Right Foot,75.0,20.0,80.0,3.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_3
7567115,Pass,None,None,From Counter,None,None,-0.38050637,10.770328999999998,,Jae-Sung Lee,00:21:57.160,2,66,0.773,00:21:57.933000,South Korea,South Korea,Heung-Min Son,Right Center Forward,Right Foot,77.0,6.0,87.0,2.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_4
7567115,Dribble,None,None,From Counter,True,None,,,,,00:22:00.773,2,67,,None,South Korea,South Korea,Jae-Sung Lee,Right Midfield,,88.0,5.0,,,None,Incomplete,Germany,South Korea,Dribble_None,Dribble_1,Dribble_None_1
7567117,Pass,None,None,From Keeper,True,None,-1.610775,25.019993,,Woo-Young Jung,00:22:59.840,2,67,1.653,00:23:01.493000,South Korea,South Korea,Yong Lee,Right Back,Left Foot,54.0,74.0,53.0,49.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567117,Pass,None,None,From Keeper,None,None,-1.1071488,53.66563000000001,,Seon-Min Moon,00:23:02.320,2,68,2.613,00:23:04.933000,South Korea,South Korea,Woo-Young Jung,Left Center Midfield,Right Foot,55.0,49.0,79.0,1.0,None,Out,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567119,Pass,Goal Kick,None,From Goal Kick,None,None,0.35144478,63.906180000000006,,Jae-Sung Lee,00:24:39.680,2,69,3.84,00:24:43.520000,South Korea,South Korea,Hyun-Woo Cho,Goalkeeper,Right Foot,6.0,39.0,66.0,61.0,None,None,Germany,South Korea,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7567119,Pass,None,None,From Goal Kick,None,None,0.18534794,32.55764,,Heung-Min Son,00:24:43.613,2,69,3.84,00:24:47.453000,South Korea,South Korea,Jae-Sung Lee,Right Midfield,Head,67.0,61.0,99.0,67.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
