players
"('Sergio Busquets i Burgos', 'Left Defensive Midfield')"
"('Lucas Vázquez Iglesias', 'Right Midfield')"
"('David de Gea Quintana', 'Goalkeeper')"
"('Jordi Alba Ramos', 'Left Back')"
"('Diego da Silva Costa', 'Center Forward')"
"('Sergio Ramos García', 'Left Center Back')"
"('Andrés Iniesta Luján', 'Left Center Midfield')"
"('Andrés Iniesta Luján', 'Center Attacking Midfield')"
"('Sergio Busquets i Burgos', 'Center Defensive Midfield')"
"('David Josué Jiménez Silva', 'Right Center Midfield')"
"('Andrés Iniesta Luján', 'Left Midfield')"
"('Rodrigo Moreno Machado', 'Center Forward')"
"('David Josué Jiménez Silva', 'Right Wing')"
"('Rodrigo Moreno Machado', 'Right Midfield')"
"('Lucas Vázquez Iglesias', 'Right Wing')"
"('Gerard Piqué Bernabéu', 'Right Center Back')"
"('Iago Aspas Juncal', 'Left Center Forward')"
"('Francisco Román Alarcón Suárez', 'Left Midfield')"
"('David Josué Jiménez Silva', 'Center Attacking Midfield')"
"('Jorge Resurrección Merodio', 'Left Center Midfield')"
"('Jorge Resurrección Merodio', 'Right Center Midfield')"
"('Jorge Resurrección Merodio', 'Right Defensive Midfield')"
"('Thiago Alcântara do Nascimento', 'Left Center Midfield')"
"('Thiago Alcântara do Nascimento', 'Right Midfield')"
"('José Ignacio Fernández Iglesias', 'Right Back')"
"('Sergio Busquets i Burgos', 'Center Midfield')"
"('Marco Asensio Willemsen', 'Right Midfield')"
"('Daniel Carvajal Ramos', 'Right Back')"
"('Francisco Román Alarcón Suárez', 'Left Wing')"
"('Francisco Román Alarcón Suárez', 'Center Attacking Midfield')"
"('Rodrigo Moreno Machado', 'Right Center Forward')"
"('Iago Aspas Juncal', 'Center Forward')"
