caseID,result,start_Zone,end_Zone,opponent
75862,Incomplete,2,1,Switzerland
75864,Incomplete,1,3,Switzerland
75866,Incomplete,2,3,Switzerland
75867,Incomplete,3,3,Switzerland
75869,Incomplete,2,2,Switzerland
758612,Out,2,3,Switzerland
758614,Out,1,3,Switzerland
758616,Off T,1,3,Switzerland
758618,Blocked,2,3,Switzerland
758620,Incomplete,2,3,Switzerland
758621,Incomplete,3,3,Switzerland
758623,Incomplete,2,2,Switzerland
758625,Incomplete,1,3,Switzerland
758627,Out,1,3,Switzerland
758629,Out,2,3,Switzerland
758631,Incomplete,2,3,Switzerland
758633,Incomplete,1,2,Switzerland
758637,Out,1,2,Switzerland
758639,Incomplete,2,3,Switzerland
758641,Incomplete,1,2,Switzerland
758644,Incomplete,2,3,Switzerland
758646,Incomplete,1,3,Switzerland
758648,Out,1,3,Switzerland
758650,Incomplete,2,2,Switzerland
758652,Incomplete,1,2,Switzerland
758653,Saved,2,3,Switzerland
758655,Incomplete,2,2,Switzerland
758657,Out,1,2,Switzerland
758660,Incomplete,1,2,Switzerland
758662,Incomplete,1,2,Switzerland
758663,Incomplete,2,3,Switzerland
758666,Incomplete,1,2,Switzerland
758668,Out,1,1,Switzerland
758670,Blocked,3,3,Switzerland
758671,Off T,3,3,Switzerland
758673,Incomplete,2,3,Switzerland
758677,Incomplete,1,3,Switzerland
758680,Incomplete,2,3,Switzerland
758681,Incomplete,2,3,Switzerland
758682,Incomplete,3,3,Switzerland
758684,Off T,2,3,Switzerland
758686,Incomplete,2,2,Switzerland
758693,Incomplete,2,None,Switzerland
758696,Incomplete,1,2,Switzerland
758697,Incomplete,2,2,Switzerland
758698,Incomplete,2,3,Switzerland
758699,Incomplete,3,3,Switzerland
7586100,Incomplete,3,3,Switzerland
7586102,Incomplete,1,2,Switzerland
7586104,Out,2,3,Switzerland
7586106,Incomplete,1,2,Switzerland
7586107,Incomplete,2,3,Switzerland
7586110,Incomplete,1,2,Switzerland
7586111,Blocked,3,3,Switzerland
7586113,Incomplete,1,1,Switzerland
7586114,Incomplete,1,2,Switzerland
7586116,Goal,1,3,Switzerland
7586118,Out,2,3,Switzerland
7586120,Off T,2,3,Switzerland
7586122,Incomplete,1,3,Switzerland
7586127,Out,1,2,Switzerland
7586129,Incomplete,1,2,Switzerland
7586133,Injury Clearance,1,3,Switzerland
7586135,Incomplete,3,3,Switzerland
7586136,Incomplete,3,3,Switzerland
7586142,Incomplete,1,3,Switzerland
7586144,Incomplete,1,2,Switzerland
7586146,Incomplete,1,3,Switzerland
7586149,Incomplete,1,3,Switzerland
7586151,Incomplete,1,3,Switzerland
7586152,Incomplete,3,3,Switzerland
7586153,Out,3,3,Switzerland
7586156,Incomplete,1,1,Switzerland
7586160,Incomplete,2,2,Switzerland
7586162,Incomplete,1,3,Switzerland
7586163,Saved,3,3,Switzerland
75662,Incomplete,2,3,Mexico
75663,Out,3,3,Mexico
75664,Out,2,2,Mexico
75666,Incomplete,1,3,Mexico
75668,Incomplete,2,3,Mexico
75669,Saved,3,3,Mexico
756611,Incomplete,2,3,Mexico
756617,Out,2,3,Mexico
756619,Incomplete,1,1,Mexico
756620,Incomplete,1,3,Mexico
756621,Off T,3,3,Mexico
756623,Incomplete,2,2,Mexico
756625,Incomplete,1,3,Mexico
756628,Off T,2,3,Mexico
756630,Out,1,3,Mexico
756632,Incomplete,3,3,Mexico
756633,Off T,3,3,Mexico
756635,Incomplete,2,3,Mexico
756638,Incomplete,2,2,Mexico
756640,Incomplete,1,2,Mexico
756644,Incomplete,1,3,Mexico
756645,Incomplete,2,3,Mexico
756647,Incomplete,2,2,Mexico
756648,Incomplete,2,3,Mexico
756651,Incomplete,2,2,Mexico
756652,Blocked,2,3,Mexico
756653,Saved,3,3,Mexico
756654,Out,3,3,Mexico
756658,Off T,2,3,Mexico
756661,Incomplete,2,2,Mexico
756664,Incomplete,2,3,Mexico
756667,Incomplete,1,3,Mexico
756670,Incomplete,1,3,Mexico
756673,Incomplete,1,2,Mexico
756675,Incomplete,2,2,Mexico
756676,Out,2,3,Mexico
756679,Incomplete,2,2,Mexico
756681,Incomplete,1,2,Mexico
756685,Off T,1,3,Mexico
756687,Incomplete,2,3,Mexico
756689,Incomplete,2,2,Mexico
756690,Out,2,3,Mexico
756692,Incomplete,1,3,Mexico
756694,Incomplete,2,2,Mexico
756696,Incomplete,1,2,Mexico
756699,Goal,2,3,Mexico
7566102,Off T,2,3,Mexico
7566105,Off T,1,3,Mexico
7566109,Saved,2,3,Mexico
7566112,Incomplete,1,1,Mexico
7566114,Incomplete,2,3,Mexico
7566115,Goal,3,3,Mexico
7566117,Incomplete,2,2,Mexico
7566121,Incomplete,1,3,Mexico
7566126,Incomplete,1,2,Mexico
7566128,Incomplete,2,3,Mexico
7566130,Incomplete,1,2,Mexico
7566132,Incomplete,1,2,Mexico
7566134,Incomplete,1,3,Mexico
7566135,Incomplete,3,3,Mexico
7566136,Incomplete,3,3,Mexico
7566140,Incomplete,1,2,Mexico
7566142,Incomplete,1,2,Mexico
7566144,Incomplete,2,2,Mexico
7566146,Incomplete,1,3,Mexico
7566150,Incomplete,1,1,Mexico
7566151,Incomplete,2,2,Mexico
7566154,Incomplete,1,None,Mexico
7566155,Incomplete,1,2,Mexico
7566156,Incomplete,2,3,Mexico
7566160,Incomplete,1,3,Mexico
7566163,Incomplete,1,2,Mexico
7566166,Incomplete,1,2,Mexico
7566168,Incomplete,1,None,Mexico
