players
"('Xherdan Shaqiri', 'Right Wing')"
"('Granit Xhaka', 'Left Defensive Midfield')"
"('Haris Seferović', 'Center Attacking Midfield')"
"('Breel-Donald Embolo', 'Left Wing')"
"('Breel-Donald Embolo', 'Center Attacking Midfield')"
"('Haris Seferović', 'Center Forward')"
"('Haris Seferović', 'Left Center Forward')"
"('Breel-Donald Embolo', 'Center Forward')"
"('Granit Xhaka', 'Left Center Midfield')"
"('Josip Drmic', 'Right Center Forward')"
"('Blerim Džemaili', 'Right Wing')"
"('Fabian Lukas Schär', 'Center Back')"
"('Valon Behrami', 'Right Center Midfield')"
"('Valon Behrami', 'Right Defensive Midfield')"
"('Denis Lemi Zakaria Lako Lado', 'Right Defensive Midfield')"
"('Denis Lemi Zakaria Lako Lado', 'Right Center Midfield')"
"('Ricardo Iván Rodríguez Araya', 'Left Back')"
"('Steven Zuber', 'Left Wing')"
"('Stephan Lichtsteiner', 'Right Back')"
"('Ricardo Iván Rodríguez Araya', 'Left Midfield')"
"('Josip Drmic', 'Center Forward')"
"('Mario Gavranović', 'Secondary Striker')"
"('Haris Seferović', 'Secondary Striker')"
"('Blerim Džemaili', 'Center Attacking Midfield')"
"('Johan Danon Djourou-Gbadjere', 'Right Center Back')"
"('Yann Sommer', 'Goalkeeper')"
"('Fabian Lukas Schär', 'Right Center Back')"
"('Michael Lang', 'Right Center Back')"
"('Michael Lang', 'Right Back')"
"('Manuel Obafemi Akanji', 'Left Center Back')"
"('Mario Gavranović', 'Center Forward')"
"('Stephan Lichtsteiner', 'Right Midfield')"
