caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756910,Pass,Throw-in,None,From Throw In,None,None,2.0344439,6.708203999999999,,Ferjani Sassi,00:05:27.947,1,5,0.733,00:05:28.680000,Tunisia,Tunisia,Oussama Haddadi,Left Back,,93.0,1.0,90.0,7.0,None,None,Tunisia,Panama,Pass_Throw-in,Pass_1,Pass_Throw-in_1
756910,Pass,None,None,From Throw In,True,None,0.42662749999999994,12.083046000000001,,Naïm Sliti,00:05:28.680,1,5,1.24,00:05:29.920000,Tunisia,Tunisia,Ferjani Sassi,Left Center Midfield,Right Foot,90.0,7.0,101.0,12.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
756910,Pass,None,None,From Throw In,True,None,2.9816794,31.400637,,Yassine Meriah,00:05:32.400,1,5,1.64,00:05:34.040000,Tunisia,Tunisia,Naïm Sliti,Left Midfield,Right Foot,86.0,5.0,55.0,10.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
756910,Pass,None,None,From Throw In,None,None,1.7681918999999997,30.594115999999996,,Rami Bedoui,00:05:35.040,1,5,1.32,00:05:36.360000,Tunisia,Tunisia,Yassine Meriah,Left Center Back,Right Foot,53.0,11.0,47.0,41.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
756910,Pass,None,None,From Throw In,None,None,-0.6045986,66.85058000000001,,Naïm Sliti,00:05:39.600,1,5,3.359,00:05:42.959000,Tunisia,Tunisia,Rami Bedoui,Right Center Back,Right Foot,54.0,49.0,109.0,11.0,None,None,Tunisia,Panama,Pass_None,Pass_5,Pass_None_4
756910,Dribble,None,None,From Throw In,None,None,,,,,00:05:44.520,1,5,,None,Tunisia,Tunisia,Naïm Sliti,Left Midfield,,111.0,15.0,,,None,Complete,Tunisia,Panama,Dribble_None,Dribble_1,Dribble_None_1
756910,Pass,None,None,From Throw In,None,None,1.3045443,22.803509,,Fakhreddine Ben Youssef,00:05:45.667,1,5,1.013,00:05:46.680000,Tunisia,Tunisia,Naïm Sliti,Left Midfield,Right Foot,109.0,16.0,115.0,38.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_6,Pass_None_5
7569101,Pass,Recovery,None,Regular Play,None,None,-1.4181469999999998,13.152946,,Ghilane Chalali,00:07:36.680,2,52,1.133,00:07:37.813000,Tunisia,Tunisia,Fakhreddine Ben Youssef,Right Midfield,Right Foot,45.0,77.0,47.0,64.0,None,None,Tunisia,Panama,Pass_Recovery,Pass_1,Pass_Recovery_1
7569101,Pass,None,None,Regular Play,None,None,-0.39060703,18.384777,,Wahbi Khazri,00:07:38.373,2,52,0.52,00:07:38.893000,Tunisia,Tunisia,Ghilane Chalali,Right Center Midfield,Right Foot,47.0,64.0,64.0,57.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569101,Pass,None,None,Regular Play,None,None,-2.3561945,4.2426405,,Ellyes Skhiri,00:07:38.893,2,52,0.84,00:07:39.733000,Tunisia,Tunisia,Wahbi Khazri,Center Forward,Right Foot,64.0,57.0,61.0,54.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569101,Pass,None,None,Regular Play,None,None,-0.13552772,22.203604000000002,,Wahbi Khazri,00:07:39.733,2,52,1.08,00:07:40.813000,Tunisia,Tunisia,Ellyes Skhiri,Center Defensive Midfield,Right Foot,61.0,54.0,83.0,51.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
7569101,Dribble,None,None,Regular Play,True,None,,,,,00:07:42.373,2,52,,None,Tunisia,Tunisia,Wahbi Khazri,Center Forward,,90.0,50.0,,,None,Incomplete,Tunisia,Panama,Dribble_None,Dribble_1,Dribble_None_1
7569101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:07:44.493,2,52,,None,Tunisia,Tunisia,Fakhreddine Ben Youssef,Right Midfield,,105.0,54.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
