caseID,result,start_Zone,end_Zone,opponent
75793,Incomplete,2,3,Portugal
75795,Incomplete,2,3,Portugal
75797,Incomplete,2,3,Portugal
75799,Incomplete,1,2,Portugal
757911,Incomplete,2,3,Portugal
757912,Incomplete,3,3,Portugal
757914,Incomplete,1,2,Portugal
757917,Goal,1,3,Portugal
757919,Incomplete,1,3,Portugal
757922,Incomplete,2,3,Portugal
757924,Incomplete,2,2,Portugal
757925,Incomplete,1,2,Portugal
757928,Blocked,2,3,Portugal
757929,Incomplete,3,3,Portugal
757931,Incomplete,3,2,Portugal
757933,Incomplete,1,None,Portugal
757935,Incomplete,1,2,Portugal
757937,Incomplete,1,2,Portugal
757939,Incomplete,1,2,Portugal
757941,Incomplete,2,3,Portugal
757942,Saved,3,3,Portugal
757944,Incomplete,2,2,Portugal
757946,Incomplete,1,3,Portugal
757949,Incomplete,1,None,Portugal
757952,Incomplete,2,3,Portugal
757953,Incomplete,3,2,Portugal
757954,Incomplete,2,3,Portugal
757956,Incomplete,1,3,Portugal
757958,Incomplete,1,2,Portugal
757961,Incomplete,1,3,Portugal
757963,Incomplete,2,3,Portugal
757965,Incomplete,2,2,Portugal
757968,Incomplete,1,3,Portugal
757971,Incomplete,1,2,Portugal
757975,Incomplete,1,2,Portugal
757977,Incomplete,1,2,Portugal
757978,Out,2,3,Portugal
757981,Incomplete,2,3,Portugal
757984,Incomplete,1,3,Portugal
757985,Incomplete,3,3,Portugal
757986,Off T,3,3,Portugal
757988,Incomplete,2,3,Portugal
757989,Incomplete,3,3,Portugal
757992,Incomplete,3,3,Portugal
757994,Out,1,2,Portugal
757997,Incomplete,2,2,Portugal
757998,Incomplete,2,2,Portugal
7579100,Incomplete,2,3,Portugal
7579103,Incomplete,1,3,Portugal
7579107,Incomplete,1,3,Portugal
7579110,Incomplete,2,2,Portugal
7579113,Incomplete,2,2,Portugal
7579115,Incomplete,1,1,Portugal
7579116,Incomplete,2,3,Portugal
7579117,Incomplete,3,3,Portugal
7579120,Incomplete,2,None,Portugal
7579124,Goal,1,3,Portugal
7579129,Incomplete,1,3,Portugal
7579132,Incomplete,1,3,Portugal
7579135,Incomplete,1,3,Portugal
7579137,Incomplete,1,3,Portugal
7579140,Incomplete,1,3,Portugal
7579143,Incomplete,3,3,Portugal
7579146,Incomplete,1,3,Portugal
7579149,Incomplete,1,2,Portugal
7579152,Incomplete,1,2,Portugal
7579153,Incomplete,2,3,Portugal
7579156,Incomplete,1,2,Portugal
7579159,Incomplete,1,2,Portugal
7579161,Incomplete,1,2,Portugal
7579163,Incomplete,1,3,Portugal
7579164,Incomplete,3,3,Portugal
7579167,Incomplete,1,3,Portugal
7579169,Incomplete,1,None,Portugal
7579170,Incomplete,2,3,Portugal
7579172,Incomplete,1,2,Portugal
7579174,Incomplete,1,3,Portugal
7579176,Incomplete,1,2,Portugal
75583,Off T,1,3,Russia
75585,Incomplete,1,2,Russia
75587,Incomplete,2,2,Russia
75589,Incomplete,1,3,Russia
755810,Incomplete,2,2,Russia
755811,Incomplete,2,3,Russia
755812,Incomplete,3,3,Russia
755815,Goal,3,3,Russia
755819,Incomplete,1,3,Russia
755821,Incomplete,2,3,Russia
755823,Incomplete,1,2,Russia
755824,Incomplete,2,3,Russia
755825,Out,3,3,Russia
755827,Incomplete,2,2,Russia
755830,Incomplete,1,3,Russia
755831,Incomplete,2,3,Russia
755834,Incomplete,1,2,Russia
755835,Incomplete,2,2,Russia
755836,Incomplete,3,3,Russia
755837,Incomplete,3,3,Russia
755838,Blocked,3,3,Russia
755840,Incomplete,1,2,Russia
755842,Incomplete,1,2,Russia
755844,Incomplete,1,2,Russia
755846,Incomplete,1,2,Russia
755848,Saved,3,3,Russia
755852,Out,1,2,Russia
755854,Incomplete,2,3,Russia
755856,Incomplete,1,3,Russia
755858,Incomplete,1,3,Russia
755860,Incomplete,2,2,Russia
755861,Out,3,3,Russia
755863,Incomplete,2,2,Russia
755866,Incomplete,1,2,Russia
755867,Incomplete,3,3,Russia
755869,Incomplete,1,2,Russia
755871,Incomplete,1,2,Russia
755873,Incomplete,2,2,Russia
755875,Incomplete,1,2,Russia
755877,Incomplete,2,3,Russia
755878,Blocked,3,3,Russia
755879,Incomplete,2,3,Russia
755881,Incomplete,2,3,Russia
755883,Incomplete,3,3,Russia
755885,Incomplete,3,3,Russia
755887,Out,1,3,Russia
755890,Incomplete,1,3,Russia
755892,Incomplete,1,3,Russia
755894,Incomplete,1,None,Russia
755896,Incomplete,1,1,Russia
755898,Blocked,2,3,Russia
7558100,Incomplete,1,2,Russia
7558102,Incomplete,1,2,Russia
7558104,Incomplete,2,3,Russia
7558105,Incomplete,3,3,Russia
7558106,Incomplete,1,2,Russia
7558109,Incomplete,1,2,Russia
7558110,Incomplete,2,3,Russia
7558112,Off T,1,3,Russia
7558114,Off T,2,3,Russia
7558116,Incomplete,1,2,Russia
7558119,Incomplete,1,2,Russia
7558121,Incomplete,1,1,Russia
7558123,Incomplete,1,2,Russia
7558124,Incomplete,2,3,Russia
7558126,Incomplete,1,2,Russia
7558127,Incomplete,2,3,Russia
7558131,Incomplete,2,2,Russia
7558132,Incomplete,2,3,Russia
7558134,Incomplete,3,3,Russia
7558135,Incomplete,3,3,Russia
7558138,Incomplete,2,3,Russia
7558140,Saved,1,3,Russia
7558141,Incomplete,3,3,Russia
7558143,Out,1,3,Russia
7558145,Blocked,3,3,Russia
7558146,Incomplete,3,3,Russia
7558149,Incomplete,1,2,Russia
7558151,Saved,1,3,Russia
7558152,Goal,3,3,Russia
7558154,Incomplete,2,3,Russia
7558156,Incomplete,1,2,Russia
7558159,Blocked,1,3,Russia
7558160,Incomplete,3,3,Russia
75443,Incomplete,1,3,Saudi Arabia
75444,Blocked,3,3,Saudi Arabia
75445,Incomplete,3,2,Saudi Arabia
75449,Incomplete,1,2,Saudi Arabia
754411,Out,1,3,Saudi Arabia
754416,Incomplete,1,2,Saudi Arabia
754417,Incomplete,2,3,Saudi Arabia
754419,Out,1,2,Saudi Arabia
754423,Incomplete,1,2,Saudi Arabia
754425,Off T,2,3,Saudi Arabia
754428,Incomplete,1,2,Saudi Arabia
754430,Incomplete,2,2,Saudi Arabia
754431,Off T,2,3,Saudi Arabia
754435,Incomplete,2,3,Saudi Arabia
754437,Incomplete,3,3,Saudi Arabia
754438,Incomplete,3,None,Saudi Arabia
754440,Incomplete,2,3,Saudi Arabia
754442,Incomplete,2,3,Saudi Arabia
754443,Incomplete,3,3,Saudi Arabia
