players
"('Diego Sebastián Laxalt Suárez', 'Left Back')"
"('Diego Roberto Godín Leal', 'Left Center Back')"
"('Cristian Gabriel Rodríguez Barrotti', 'Left Center Midfield')"
"('Lucas Torreira Di Pascua', 'Right Defensive Midfield')"
"('Néstor Fernando Muslera Micol', 'Goalkeeper')"
"('José Martín Cáceres Silva', 'Left Back')"
"('Giorgian Daniel De Arrascaeta Benedetti', 'Center Attacking Midfield')"
"('Giorgian Daniel De Arrascaeta Benedetti', 'Left Wing')"
"('Luis Alberto Suárez Díaz', 'Right Wing')"
"('Sebastián Coates Nión', 'Right Center Back')"
"('Matías Vecino Falero', 'Right Center Midfield')"
"('Maximiliano Gómez González', 'Right Center Forward')"
"('Edinson Roberto Cavani Gómez', 'Secondary Striker')"
"('Cristian Gabriel Rodríguez Barrotti', 'Left Wing')"
"('Lucas Torreira Di Pascua', 'Center Defensive Midfield')"
"('Luis Alberto Suárez Díaz', 'Right Center Forward')"
"('Maximiliano Gómez González', 'Left Center Forward')"
"('Rodrigo Bentancur Colmán', 'Center Attacking Midfield')"
"('Matías Vecino Falero', 'Left Defensive Midfield')"
"('Lucas Torreira Di Pascua', 'Right Center Midfield')"
"('Cristhian Ricardo Stuani Curbelo', 'Left Center Forward')"
"('Luis Alberto Suárez Díaz', 'Left Center Forward')"
"('José María Giménez de Vargas', 'Right Center Back')"
"('Matías Vecino Falero', 'Left Center Midfield')"
"('Cristhian Ricardo Stuani Curbelo', 'Right Center Forward')"
"('Diego Roberto Godín Leal', 'Right Center Back')"
"('José María Giménez de Vargas', 'Left Center Back')"
"('Diego Sebastián Laxalt Suárez', 'Left Wing')"
"('Cristian Gabriel Rodríguez Barrotti', 'Left Midfield')"
"('Nahitan Michel Nández Acosta', 'Right Midfield')"
"('Carlos Andrés Sánchez Arcosa', 'Right Midfield')"
"('Edinson Roberto Cavani Gómez', 'Left Center Forward')"
"('Guillermo Varela Olivera', 'Right Back')"
"('Jonathan Matías Urretaviscaya da Luz', 'Right Wing')"
"('José Martín Cáceres Silva', 'Right Back')"
"('Edinson Roberto Cavani Gómez', 'Right Center Forward')"
"('Carlos Andrés Sánchez Arcosa', 'Right Wing')"
"('Nahitan Michel Nández Acosta', 'Right Wing')"
"('Nahitan Michel Nández Acosta', 'Right Center Midfield')"
"('Lucas Torreira Di Pascua', 'Left Center Midfield')"
"('Matías Vecino Falero', 'Left Midfield')"
"('Rodrigo Bentancur Colmán', 'Left Center Midfield')"
"('Cristian Gabriel Rodríguez Barrotti', 'Right Midfield')"
