caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756410,Pass,Free Kick,None,From Free Kick,None,None,-2.4980915,10.0,,Javier Alejandro Mascherano,00:03:11.007,1,3,1.133,00:03:12.140000,Argentina,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,Right Foot,67.0,71.0,59.0,65.0,None,None,Argentina,Nigeria,Pass_Free Kick,Pass_1,Pass_Free Kick_1
756410,Pressure,None,None,From Free Kick,None,None,,,,,00:03:11.513,1,3,0.586,00:03:12.099000,Argentina,Nigeria,Oghenekaro Etebo,Left Center Midfield,,55.0,13.0,,,None,None,Argentina,Nigeria,Pressure_None,Pressure_1,Pressure_None_1
756410,Pass,None,None,From Free Kick,None,None,-1.19029,10.770329,,Éver Maximiliano David Banega,00:03:12.447,1,3,0.973,00:03:13.420000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,60.0,59.0,64.0,49.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
756410,Pass,None,None,From Free Kick,None,None,2.0344439,13.416408,,Javier Alejandro Mascherano,00:03:14.287,1,3,1.093,00:03:15.380000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Right Foot,64.0,50.0,58.0,62.0,None,None,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
756410,Pressure,None,None,From Free Kick,None,None,,,,,00:03:14.500,1,3,0.773,00:03:15.273000,Argentina,Nigeria,Onyinye Wilfred Ndidi,Right Center Midfield,,53.0,34.0,,,None,None,Argentina,Nigeria,Pressure_None,Pressure_2,Pressure_None_2
756410,Pass,None,None,From Free Kick,None,None,-1.9614034,18.384777,,Nicolás Hernán Otamendi,00:03:17.407,1,3,1.6,00:03:19.007000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,59.0,55.0,52.0,38.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_3
756410,Pass,None,None,From Free Kick,None,None,0.09585915,52.23983,,Lionel Andrés Messi Cuccittini,00:03:22.207,1,3,3.066,00:03:25.273000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,57.0,40.0,109.0,45.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_4
756410,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:03:25.273,1,3,,None,Argentina,Nigeria,Francis Odinaka Uzoho,Goalkeeper,,12.0,36.0,,,None,None,Argentina,Nigeria,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
756410,Pass,None,None,From Free Kick,None,None,0.39644128,93.230896,,Kelechi Promise Iheanacho,00:03:38.620,1,3,5.413,00:03:44.033000,Argentina,Nigeria,Francis Odinaka Uzoho,Goalkeeper,Drop Kick,18.0,43.0,104.0,79.0,None,Out,Argentina,Nigeria,Pass_None,Pass_6,Pass_None_5
7564100,Pass,Corner,None,From Corner,None,None,1.6983058,39.319206,,,00:03:18.040,2,48,1.333,00:03:19.373000,Nigeria,Nigeria,Oghenekaro Etebo,Left Center Midfield,Right Foot,120.0,1.0,115.0,40.0,None,Unknown,Argentina,Nigeria,Pass_Corner,Pass_1,Pass_Corner_1
